ParcelNumber,LocationAdress,Acres,Neighborhood,HomesteadExemp,Style,HeatedSqFt,YearBuilt,NumOfBedrooms,NumOfFullBath,NumOfHalfBath,ACC_NumAccs,ACC_TotalValue,Val_2024_CurrentValue
163D4 C008B,225   THIRD ST  ,0.12,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1152 ,2006,3,3,0,0,0,297122.00
172C2 E013,740   BRANCH ST  ,0.46,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,480 ,1961,1,1,0,0,0,132735.00
164C3 D007,452   THIRD ST  ,0.17,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1296 ,1950,4,2,0,0,0,230412.00
163B3 A006C,148   RUTH ST  ,0.32,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1750 ,2007,4,4,0,2,7000,550000.00
163D2 F004,275   FOURTH ST  ,0.14,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1752 ,2022,4,3,1,0,0,397430.00
163D1 D007,149   STRICKLAND AVE  ,0.15,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1620 ,2016,4,4,1,0,0,332312.00
163B3 F025,185   MARLIN ST  ,0.11,4062R-MLK & RUTH (4062R),Yes (S1),Single Family Residence,1200 ,2007,3,2,0,0,0,235000.00
163B3 A001B,165   RUTH DR  ,0.38,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,2498 ,2014,6,6,1,0,0,565854.00
163D1 C008A,958   DR MARTIN LUTHER KING JR PKWY  ,0.12,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,2135 ,2022,3,3,1,0,0,402549.00
163D1 G011A,150 A  STRICKLAND AVE  ,0.07,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1446 ,2011,3,3,0,0,0,290577.00
163D1 H002,876   DR MARTIN LUTHER KING JR PKWY  ,0.1,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1824 ,2009,4,4,0,0,0,371125.00
164C1 C001A,156   TRAIL CREEK ST  ,0.13,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1412 ,2005,3,2,0,0,0,287276.00
164C3 G005B,477   THIRD ST  ,0.19,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1344 ,2003,3,2,0,0,0,282332.00
172A2 C012,295   BAKER ST  ,0.15,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,729 ,1960,2,1,0,0,0,181543.00
172A3 F005,166   HERRING ST  ,0.28,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1665 ,2005,5,3,0,0,0,394576.00
163D4 C008,205   THIRD ST  ,0.12,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1152 ,2006,3,3,0,0,0,297122.00
172A2 D002,223   FAIRVIEW ST  ,0.21,4012R-EAST ATHENS (4012R),Yes (S1),Single Family Residence,1564 ,2003,3,2,0,0,0,235897.00
172C2 D006B,227   DERBY ST  ,0.11,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1862 ,2006,4,3,0,0,0,311760.00
164C3 G006A,197   WATER OAK ST  ,0.25,4011R-NORTH AVENUE (4011R),Yes (S1),Single Family Residence,1940 ,1990,3,3,0,1,485,424761.00
172A4 B012,260   VINE ST  ,0.2,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1346 ,1915,3,1,0,0,0,237059.00
163D4 A001,590   ROSA NELL HOWARD ST  ,0.26,4011R-NORTH AVENUE (4011R),Yes (S1),Single Family Residence,1120 ,2005,3,2,0,1,5328,350140.00
172C2 H026,224   BURNEY ST  ,0.35,4012R-EAST ATHENS (4012R),Yes (S1),Single Family Residence,1054 ,2010,3,2,0,0,0,289116.00
163D2 F004A,273   FOURTH ST  ,0.15,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1848 ,2022,4,4,1,0,0,419114.00
163D4 B012A,150   GRIFFETH ST  ,0.12,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1312 ,2007,3,2,0,0,0,337418.00
172A4 D012,150   DERBY ST  ,0.14,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,972 ,1945,2,2,0,0,0,312009.00
172A4 B029,247   ARCH ST  ,0.22,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,984 ,1935,2,1,0,1,117,236084.00
163D1 H015,233   MADISON HTS  ,0.15,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1160 ,2001,3,2,0,0,0,252340.00
163D1 H011,225   MADISON HTS  ,0.11,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1200 ,2011,3,3,0,0,0,293071.00
172B3 B009,640   VINE ST  ,0.41,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1464 ,1935,3,2,0,0,0,248585.00
172A3 G007D,1460  E BROAD ST  ,0.12,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1924 ,2010,4,4,0,0,0,449123.00
163D1 J002A,221   FOURTH ST  ,0.14,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1472 ,2007,3,2,1,0,0,381008.00
163B3 F013C,141   JONAS AVE  ,0.25,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1776 ,2008,4,4,0,0,0,368202.00
172A3 G013,145   HERRING ST  ,0.15,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1065 ,1935,3,2,0,0,0,190439.00
172A4 D001,372   ARCH ST  ,0.31,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,2898 ,2023,5,4,0,0,0,399000.00
172A3 F008B,135   HARPER ST  ,0.12,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1632 ,2021,3,2,1,0,0,430739.00
163D1 J003,694   DR MARTIN LUTHER KING JR PKWY  ,0.55,4011R-NORTH AVENUE (4011R),Yes (S1),Single Family Residence,1152 ,1983,4,2,0,0,0,172649.00
163D4 J007A,237   PEARL ST  ,0.12,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1980 ,2013,3,2,0,0,0,486027.00
163D2 E004A,479   FIRST ST  ,0.12,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1806 ,2019,4,3,1,0,0,398760.00
163D2 C005,240   STRICKLAND AVE  ,0.15,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1804 ,2011,4,4,1,0,0,372124.00
164C4 D016,188   BOOKER ST  ,0.18,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,480 ,1965,2,1,0,0,0,112145.00
163D2 D003D,115   FIFTH ST  ,0.09,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1800 ,2005,5,3,0,0,0,390564.00
172A4 D002,370   ARCH ST  ,0.31,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1760 ,2023,4,3,0,0,0,333564.00
163D4 D003,226   FLINT ST  ,0.14,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1770 ,2016,3,3,1,0,0,513673.00
163D4 K004A,174   SECOND ST  ,0.15,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1854 ,2010,4,4,1,0,0,409600.00
163D1 J001,249   FOURTH ST  ,0.3,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1838 ,2022,4,4,1,0,0,411041.00
164C1 C001B,160   TRAIL CREEK ST  ,0.13,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1469 ,2005,4,2,0,0,0,302400.00
163D4 D007A,122   FLINT ST  ,0.13,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1840 ,2007,3,2,1,0,0,383814.00
163B3 A006B,146   RUTH ST  ,0.21,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,2216 ,2007,4,4,0,0,0,409759.00
163B3 F016A,150   JONAS AVE  ,0.24,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1960 ,2009,5,4,0,0,0,616795.00
172A3 F004A,168   HERRING ST  ,0.28,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1665 ,2005,5,3,0,0,0,396204.00
172A3 G007A,1456  E BROAD ST  ,0.14,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1492 ,2008,3,2,0,0,0,388113.00
172A4 D018,1623  E BROAD ST  ,0.34,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,968 ,1940,3,1,1,0,0,274277.00
172A4 E002A,274   ARCH ST  ,0.57,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1144 ,1998,3,1,0,0,0,226075.00
163D1 E010,187   STRICKLAND AVE  ,0.1,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1750 ,2020,4,4,0,0,0,355697.00
163D1 H018A,239   MADISON HTS  ,0.17,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1824 ,2009,4,4,0,0,0,371125.00
163B3 A005B,205   RUTH DR  ,0.22,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,2470 ,2014,5,5,0,0,0,502050.00
172A2 J009,271  E CARVER DR  ,0.3,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1095 ,1965,2,1,0,1,152,209443.00
163B3 F026,189   MARLIN ST  ,0.11,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,2376 ,2005,3,2,0,0,0,342086.00
172A3 F011A,148   HERRING ST  ,0.15,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,2016 ,2012,4,3,0,0,0,414690.00
164C3 G005C,481   THIRD ST  ,0.21,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1344 ,2003,3,2,0,0,0,282332.00
163B3 F031,190   MARLIN ST  ,0.16,4062R-MLK & RUTH (4062R),No (S0),Single Family Residence,1582 ,2020,3,3,1,0,0,346786.00
172A2 D003B,80   MCKINLEY DR  ,0.23,4012R-EAST ATHENS (4012R),Yes (SC),Single Family Residence,1188 ,2000,3,2,0,0,0,244744.00
172A4 B036A,293   ARCH ST  ,0.39,4012R-EAST ATHENS (4012R),Yes (S1),Single Family Residence,1646 ,2007,3,2,1,0,0,351050.00
164C1 C001C,164   TRAIL CREEK ST  ,0.13,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,1795 ,2005,4,2,0,0,0,319200.00
163D4 D012A,130   PEARL ST  ,0.14,4011R-NORTH AVENUE (4011R),No (S0),Single Family Residence,2784 ,2019,5,5,2,0,0,540957.00
172A2 H005B,134   FAIRVIEW ST  ,0.18,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1320 ,2003,3,2,0,0,0,314858.00
172A2 H005C,136   FAIRVIEW ST  ,0.17,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1380 ,2003,3,2,0,0,0,278279.00
172C2 B017A,396   ARCH ST  ,0.16,4012R-EAST ATHENS (4012R),Yes (S1),Single Family Residence,1484 ,2003,3,2,0,0,0,258263.00
172C2 H032E,150   CARPENTERS CIR  ,0.11,4012R-EAST ATHENS (4012R),Yes (S1),Single Family Residence,1056 ,2014,3,1,0,0,0,222005.00
172A1 A014,274   MORELAND AVE  ,0.22,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1290 ,1996,3,2,0,0,0,211128.00
172C2 D006,235   DERBY ST  ,0.12,4012R-EAST ATHENS (4012R),No (S0),Single Family Residence,1862 ,2006,4,3,0,0,0,310601.00
