BORROWERID,DEFAULT,LATE,AGE,CREDITSCORE
3H7X7J,Yes,0.77,0.708,2.9
L6A5JQ,Yes,0.54,1.135,2.1
HJQ9Y5,No,0.37,-0.284,7.5
42W0ET,No,0.28,1.389,8.2
QSQBE1,No,0.34,-0.663,0
3ZBIJB,Yes,0.86,1.046,3.6
QTP49X,No,0.53,-1.546,7.2
4ZEV70,Yes,0.90,0.801,1.5
CHKQZG,Yes,0.74,-0.301,2.5
QGGJNF,Yes,0.88,0.284,3.2
TNCWQ9,Yes,0.48,0.890,5.4
U8J8ZF,No,0.51,1.085,7.4
SXSZHW,Yes,0.92,-1.215,1
G2XJQ1,Yes,0.82,0.603,5
9BY2TS,Yes,0.81,0.067,2.8
3DGJ6Y,Yes,0.80,-0.729,3
X1CI98,No,0.14,0.511,5.7
V4UCB8,No,0.27,-0.420,8.1
S02VKO,No,0.21,-0.055,7.1
8NVMEN,Yes,0.80,-0.517,2.9
HAEB1B,No,0.08,0.475,8.8
K1D37M,Yes,0.35,-0.294,8
V8ARH4,No,0.29,-0.434,8.2
OXNBNA,Yes,0.57,1.031,3.4
7HUBWW,No,0.54,1.324,7
P3BRRO,No,0.43,-0.081,8.8
PVE3G3,Yes,0.70,0.296,3.1
BL5AVH,No,0.18,0.699,8.4
IX8BP9,No,0.70,-2.488,7.1
UGPXYB,No,0.46,-1.407,7.1
NFH83A,Yes,0.50,2.293,5
MHNOTC,No,0.34,-0.212,8.5
V0TM81,Yes,0.89,0.572,1.9
X03RGM,No,0.73,-0.709,3.1
EC643H,Yes,0.80,-0.650,4
XL6Q87,No,0.31,-0.996,8.1
VL1CJJ,Yes,0.79,-0.873,2.9
9M2A6G,Yes,0.65,-0.741,3.6
TB690N,Yes,0.65,1.022,4.6
Y45X8I,Yes,0.70,1.548,3.8
AYT82Q,Yes,0.68,-0.544,4
H9UYAP,No,0.58,0.379,6.3
YLPQ3Z,Yes,0.71,1.608,4.8
SHRFR5,No,0.72,-0.399,5.2
BSD9OY,Yes,0.55,0.097,4.4
1XPQ6I,No,0.38,-1.861,6.1
3O4RBK,Yes,0.81,-0.609,4
MG9AO9,No,0.11,-1.126,8.6
QA0SBM,Yes,0.49,-0.750,6.7
5KZA2S,No,0.50,0.886,6.5
5NSOM2,No,0.73,0.143,6
6LC7FL,No,0.41,0.202,7.9
45H03J,No,0.36,-0.558,5.9
9K12KG,Yes,0.86,-0.004,2
MFLV1Q,Yes,0.59,-0.159,2.5
Y4Y7PP,No,0.71,-0.345,6.3
O90DMH,No,0.82,0.513,5.3
HW8Q4K,Yes,0.63,-1.822,0.9
7RUWJY,No,0.28,1.270,8.2
T84ICM,Yes,0.53,-1.224,4.7
7QYTMK,No,0.87,2.470,6.7
S5Z2EM,No,0.32,0.197,8.9
M0VSAT,Yes,0.58,-0.762,2.4
FZ6VJ2,Yes,0.52,-0.555,3.5
2VFURF,Yes,0.35,0.216,6.5
8GNVXC,Yes,0.62,0.170,2.5
WU003K,No,0.78,1.890,7.1
W9OOBU,No,0.47,1.780,7.9
FE8R4O,Yes,0.74,0.945,1.9
RUOWQ2,Yes,0.86,-1.125,2.9
PQ560I,No,0.55,-1.395,4.5
9Y9GG3,No,0.77,-0.367,7.2
OW6BMA,Yes,0.71,0.640,4.1
ZCJZF6,Yes,0.89,-1.316,2.4
