STATE,FUELCON,POP,AREA
Alabama,547.92,"4,486,508",50750
Alaska,440.38,"643,786",570374
Arizona,456.9,"5,456,453",113642
Arkansas,530.08,"2,710,079",52075
California,426.21,"35,116,033",155973
Colorado,474.78,"4,506,542",103729
Connecticut,432.44,"3,460,503",4845
Delaware,492.97,"807,385",1955
Florida,461.55,"16,713,149",53997
Georgia,564.82,"8,560,310",57919
Hawaii,336.97,"1,244,898",6423
Idaho,484.83,"1,341,131",82751
Illinois,406.99,"12,600,620",55593
Indiana,524.01,"6,159,068",35870
Iowa,532.39,"2,936,760",55875
Kansas,483.31,"2,715,884",81823
Kentucky,532.77,"4,092,891",39732
Louisiana,513.8,"4,482,646",43566
Maine,472.68,"1,294,464",30865
Maryland,463.46,"5,458,137",9775
Massachusetts,436.57,"6,427,801",7838
Michigan,504.95,"10,050,446",56809
Minnesota,532.52,"5,019,720",79617
Mississippi,541.06,"2,871,782",46914
Missouri,549.16,"5,672,579",68898
Montana,549.35,"909,453",145556
Nebraska,503.1,"1,729,180",76878
Nevada,448.81,"2,173,491",109806
New Hampshire,541.67,"1,275,056",8969
New Jersey,465.52,"8,590,300",7419
New Mexico,504.77,"1,855,059",121364
New York,296.44,"19,157,532",47224
North Carolina,510.05,"8,320,146",48718
North Dakota,580.32,"634,110",68994
Ohio,458.31,"11,421,267",40953
Oklahoma,523.89,"3,493,714",68679
Oregon,439.09,"3,521,515",96002
Pennsylvania,417.36,"12,335,091",44820
Rhode Island,382.82,"1,069,725",1045
South Carolina,557.53,"4,107,183",30111
South Dakota,577.84,"761,063",75896
Tennessee,506.3,"5,797,289",41219
Texas,502.17,"21,779,893",261914
Utah,430.53,"2,316,256",82168
Vermont,555.78,"616,592",9249
Virginia,529.52,"7,293,542",39598
Washington,446.63,"6,068,996",66581
West Virginia,466.31,"1,801,873",24087
Wisconsin,466.08,"5,441,196",54314
Wyoming,715.55,"498,703",97105
Washington D.C.,289.99,570898,61
