NAudits,NMathInAcc,NDemoIncon,NMathIncon,NMismatches,NNonComply,SubmitOnTime,SubmitMethod,ReturnType
1,4,5,5,4,2,Yes,Paper,Individual
0,4,5,5,5,2,Yes,Paper,Individual
5,5,4,6,6,2,Yes,Online,Individual
1,5,6,5,3,3,Yes,Online,Individual
1,5,3,6,5,0,Yes,Online,Individual
0,3,5,5,5,0,Yes,Paper,Corporate
0,4,3,5,4,2,Yes,Online,Individual
4,4,5,5,6,2,Yes,Paper,Non-Profit
1,4,6,3,5,2,Yes,Online,Non-Profit
3,3,6,7,5,2,No,Paper,Non-Profit
5,4,3,5,6,3,Yes,Online,Individual
2,4,6,6,6,4,Yes,Online,Non-Profit
0,4,4,5,5,2,Yes,Paper,Individual
5,5,4,5,6,2,Yes,Online,Individual
0,6,4,6,4,2,Yes,Paper,Corporate
3,5,4,5,5,2,Yes,Online,Corporate
5,6,7,7,4,2,Yes,Paper,Corporate
2,5,4,4,5,3,Yes,Paper,Individual
5,6,4,5,6,3,No,Paper,Individual
3,5,4,5,5,1,Yes,Paper,Corporate
4,5,7,3,5,2,No,Paper,Individual
3,5,5,7,5,1,Yes,Paper,Individual
4,4,6,5,7,1,Yes,Paper,Non-Profit
2,4,6,6,4,3,Yes,Online,Corporate
2,4,6,3,7,3,No,Paper,Non-Profit
2,5,5,3,6,1,Yes,Online,Individual
0,4,5,4,5,3,Yes,Paper,Corporate
3,6,7,4,3,4,Yes,Paper,Corporate
0,5,6,4,5,2,Yes,Paper,Corporate
4,5,6,5,5,3,Yes,Online,Individual
0,7,3,4,6,0,Yes,Online,Individual
0,5,5,6,5,2,Yes,Online,Corporate
0,6,5,7,4,1,Yes,Paper,Corporate
0,4,3,6,5,2,Yes,Paper,Individual
0,5,5,4,5,1,Yes,Paper,Non-Profit
0,3,4,5,5,1,Yes,Paper,Corporate
5,6,6,5,6,3,Yes,Online,Corporate
0,3,6,6,5,1,Yes,Online,Individual
5,6,5,5,7,0,Yes,Paper,Corporate
1,7,6,4,3,1,Yes,Paper,Corporate
0,4,5,5,5,1,No,Online,Corporate
0,5,5,6,4,4,Yes,Online,Corporate
2,4,4,7,6,1,Yes,Online,Individual
3,4,5,4,2,4,Yes,Paper,Corporate
0,5,4,6,4,2,No,Online,Non-Profit
1,6,5,3,6,3,Yes,Paper,Individual
4,6,6,4,4,3,Yes,Online,Non-Profit
5,6,4,5,5,2,No,Paper,Non-Profit
0,4,6,6,5,2,Yes,Paper,Individual
0,5,6,6,4,1,Yes,Online,Individual
0,6,6,4,4,1,Yes,Paper,Individual
3,5,6,6,4,1,No,Paper,Individual
1,4,5,5,5,2,Yes,Online,Corporate
4,6,5,5,5,4,No,Paper,Corporate
4,6,7,5,3,3,Yes,Online,Individual
2,6,5,4,5,2,Yes,Paper,Individual
0,4,3,6,3,2,Yes,Paper,Individual
1,4,4,5,5,2,Yes,Paper,Individual
1,6,5,5,7,1,Yes,Paper,Individual
0,5,4,5,4,2,No,Paper,Corporate
2,6,5,6,4,1,Yes,Paper,Individual
5,8,5,5,5,2,Yes,Online,Individual
0,5,4,6,6,1,Yes,Paper,Corporate
3,4,4,6,5,2,Yes,Paper,Non-Profit
10,5,5,4,6,1,Yes,Paper,Individual
3,5,5,5,5,2,Yes,Paper,Non-Profit
0,4,5,6,4,2,Yes,Paper,Individual
0,4,4,3,5,3,No,Online,Individual
2,5,7,6,5,0,Yes,Paper,Corporate
4,6,5,6,5,2,Yes,Online,Corporate
0,4,4,4,6,2,Yes,Paper,Corporate
4,5,4,6,6,2,No,Online,Individual
0,5,5,4,6,2,Yes,Online,Individual
0,6,5,5,6,3,Yes,Online,Individual
5,5,4,5,6,2,Yes,Paper,Corporate
