Exch Rate,Inflation CPI,GDP Index
35.211,2.806,5.737
50.718,2.010,9.586
59.193,1.682,9.575
79.014,4.044,2.716
98.711,2.482,3.694
76.825,3.785,0.711
33.837,0.500,6.158
57.039,2.174,8.935
49.619,2.423,0.899
109.437,4.894,0.151
62.552,1.730,6.657
86.038,2.611,3.925
46.944,1.041,9.471
31.037,1.095,9.434
92.118,2.959,9.150
73.033,2.316,2.574
33.239,2.371,3.879
48.963,3.510,1.228
57.928,3.740,5.935
116.426,4.310,0.084
54.692,0.708,9.660
41.958,1.726,5.018
95.414,3.826,0.376
64.319,1.905,8.940
40.939,3.697,3.351
124.703,4.286,0.149
50.901,2.967,6.325
105.205,3.442,2.876
67.276,1.409,1.449
70.876,4.703,6.819
59.930,2.560,2.217
38.748,2.598,8.623
30.642,1.822,8.176
73.378,3.481,0.078
70.712,2.672,5.377
97.837,2.217,1.421
79.195,4.099,0.801
82.280,3.202,3.467
55.640,2.012,0.879
66.785,1.535,4.546
34.185,1.655,5.566
72.339,4.078,0.890
52.637,1.908,7.797
60.822,3.214,8.380
30.427,2.739,4.881
63.999,3.699,3.154
50.385,1.961,5.320
80.347,3.236,1.047
88.029,2.762,0.541
76.182,4.090,6.412
88.380,1.676,0.467
48.614,1.150,7.283
83.125,3.589,4.550
35.981,3.120,9.423
29.076,4.937,4.150
84.726,2.600,4.137
13.381,1.150,8.221
62.043,3.448,1.412
68.528,2.687,5.052
49.627,3.210,8.698
66.311,2.759,1.481
57.630,3.680,2.848
91.679,3.002,4.373
53.917,4.429,8.041
38.965,2.230,9.652
61.129,3.870,9.530
44.035,1.944,7.407
9.259,2.689,4.818
68.657,3.044,4.060
111.329,4.471,0.460
68.451,1.623,5.657
37.084,2.059,1.475
22.184,1.538,0.873
68.281,3.512,0.566
58.179,3.123,8.353
71.500,4.401,3.717
90.250,3.887,3.152
53.824,2.527,3.654
