Quantity,Cost
110,15670.76
500,23405.66
120,18380.88
510,23145.39
340,23191.53
620,24464.14
350,22262.63
130,17012.08
510,23712.91
60,13728.09
80,14777.4
360,21645.45
110,15983.57
120,16254.58
230,20811.9
500,22145.26
650,25873.01
510,23094.15
90,14473.49
30,10810.92
250,20647.02
160,17342.48
710,27978.15
580,23724.68
560,23031.68
510,24193.06
340,22032.14
430,21703.87
660,25802.86
160,19589.52
360,23020.11
510,22350.73
520,22894.49
670,26330.24
510,23090.06
80,14072.29
740,30801.06
660,26305.13
250,20907.3
610,24660.3
380,21717.19
10,7132.79
760,30773.76
460,22831.66
380,22242.87
380,21411.74
250,18686.31
540,22751.03
430,21957.92
360,23092.64
550,23171.41
30,9890.3
300,20918.65
30,13103.14
120,17733.49
700,28261.58
690,27784.98
620,24911.21
800,36389.01
800,32989.9
360,21781.93
230,20480.66
520,21205.32
520,22512.59
510,24730.43
460,19778.44
370,22718.31
370,21864.31
390,22794.56
130,18682.11
80,14434.91
250,18966.93
130,17563.93
640,28181.57
400,22574.92
800,34484.12
430,22946.85
560,23943.21
620,24346.69
660,26324.26
30,10622.52
430,22247.62
550,23766.4
460,22794.75
30,11170.02
800,35079.01
110,15928.94
130,17397.95
300,23065.57
440,23248.85
400,21781.95
170,18099.79
120,16266.64
120,17441.66
540,22637.82
480,22443.35
160,17973.58
250,20820.46
510,22105.08
110,16005.45
520,22771.04
300,21372
380,21949.94
510,21284.16
620,23692.35
340,22329.97
550,23186.41
110,16214.73
380,21830.46
60,13411.67
360,21810.07
110,14902.48
430,22888.18
190,21034.96
430,22459.69
500,22541.96
620,24826.46
760,31807.33
250,21103.83
120,16178.64
370,22762.99
400,19607.21
70,12830.7
380,21656.21
510,22429.83
400,21939.05
20,9201.14
640,25381.11
740,29910.93
500,20920.47
