OrderID,Quantity,Price,Region,ProductType,BuyerType,ContractSize
ORD-7805,477.0,1241.04,Southeast,Rebar,Construction,Small
ORD-3250,168.5,1094.49,Northeast,Structural,Distributor,Small
ORD-7983,536.6,982.67,Midwest,Sheet,Automotive,Large
ORD-4172,419.8,858.28,Southeast,Plate,Manufacturer,Small
ORD-9047,103.7,1268.52,Midwest,Coil,Manufacturer,Medium
ORD-9179,183.4,1008.30,Southwest,Structural,Distributor,Medium
ORD-8698,235.2,980.39,Northeast,Sheet,Manufacturer,Small
ORD-4986,190.5,857.02,Southwest,Sheet,Distributor,Large
ORD-6381,265.9,1067.25,Southwest,Structural,Automotive,Small
ORD-9264,796.8,900.97,Midwest,Sheet,Construction,Large
ORD-8323,231.3,991.88,Southeast,Structural,Construction,Medium
ORD-7637,185.7,1031.84,Northeast,Coil,Distributor,Medium
ORD-6945,156.9,898.04,Southwest,Sheet,Distributor,Large
ORD-3226,253.8,1031.87,Southeast,Plate,Automotive,Medium
ORD-2872,109.3,1249.68,Midwest,Sheet,Construction,Small
ORD-2968,256.3,965.73,Southwest,Coil,Manufacturer,Medium
ORD-9025,275.3,996.43,Midwest,Sheet,Automotive,Medium
ORD-2457,194.8,1115.28,Midwest,Coil,Construction,Small
ORD-2286,217.2,1173.22,West,Plate,Distributor,Medium
ORD-6750,514.9,944.10,Southwest,Rebar,Construction,Small
ORD-3372,112.6,981.39,Midwest,Coil,Distributor,Medium
ORD-3699,346.8,1175.33,Southeast,Plate,Automotive,Large
ORD-9975,292.4,851.18,West,Coil,Automotive,Medium
ORD-1536,249.4,1108.15,Southeast,Rebar,Automotive,Large
ORD-4513,325.8,776.29,Southeast,Plate,Construction,Large
ORD-6101,316.0,1183.27,West,Sheet,Automotive,Medium
ORD-1054,242.7,824.61,Southeast,Plate,Automotive,Small
ORD-6697,342.3,1030.20,Southwest,Structural,Manufacturer,Small
ORD-6685,386.6,1226.39,Southeast,Rebar,Construction,Large
ORD-1261,430.7,820.53,Midwest,Structural,Automotive,Large
ORD-2139,174.6,988.38,Southeast,Coil,Manufacturer,Small
ORD-7249,414.5,1034.76,Southwest,Plate,Distributor,Large
ORD-1364,311.8,930.39,Southwest,Structural,Distributor,Medium
ORD-6922,156.5,1267.84,Southwest,Coil,Construction,Large
ORD-4460,334.9,1200.51,Southwest,Coil,Construction,Medium
ORD-8824,254.4,948.59,Midwest,Plate,Automotive,Medium
ORD-4839,218.1,997.74,West,Coil,Automotive,Large
ORD-3766,260.3,1058.30,Midwest,Sheet,Distributor,Large
ORD-8501,719.1,870.39,West,Rebar,Construction,Small
ORD-2533,299.1,895.83,Northeast,Structural,Construction,Medium
ORD-8336,367.0,1109.23,West,Sheet,Manufacturer,Small
ORD-1225,244.2,1113.32,Northeast,Rebar,Construction,Medium
ORD-3134,298.8,854.05,Southeast,Structural,Distributor,Medium
ORD-6230,283.7,991.80,West,Rebar,Distributor,Medium
ORD-4170,247.6,1154.64,Midwest,Sheet,Manufacturer,Small
ORD-1981,291.5,1089.43,Southeast,Sheet,Construction,Medium
ORD-4355,266.9,815.12,West,Coil,Distributor,Medium
ORD-7055,124.1,1078.44,Northeast,Sheet,Construction,Medium
ORD-1587,268.6,1041.42,West,Sheet,Construction,Large
ORD-9758,291.0,1107.04,West,Rebar,Distributor,Small
ORD-1428,310.6,1124.83,West,Rebar,Manufacturer,Small
ORD-2616,139.0,921.98,Southwest,Sheet,Automotive,Small
ORD-9442,114.4,1068.41,Southeast,Sheet,Manufacturer,Small
ORD-1080,184.2,910.00,Midwest,Coil,Automotive,Medium
ORD-9598,158.6,1059.61,Southeast,Coil,Manufacturer,Small
ORD-1744,377.7,829.95,West,Coil,Manufacturer,Small
ORD-1774,400.1,1004.01,West,Rebar,Construction,Medium
ORD-3446,419.6,1071.91,West,Rebar,Manufacturer,Small
ORD-8159,291.5,828.48,West,Sheet,Distributor,Medium
ORD-3998,327.8,892.27,Southeast,Coil,Automotive,Medium
ORD-4804,163.2,1094.34,Midwest,Sheet,Construction,Small
ORD-4733,247.1,1337.10,Southwest,Structural,Distributor,Small
ORD-3637,168.6,976.39,Southwest,Rebar,Distributor,Large
ORD-4602,121.3,1040.95,Northeast,Coil,Manufacturer,Small
ORD-2490,259.6,882.68,Southwest,Rebar,Distributor,Large
ORD-8376,230.2,834.35,West,Coil,Distributor,Small
ORD-9540,145.2,943.16,West,Sheet,Distributor,Small
ORD-4452,407.5,955.27,Northeast,Structural,Automotive,Medium
ORD-7403,767.1,967.96,Southwest,Rebar,Construction,Large
ORD-6904,197.1,1135.16,West,Sheet,Automotive,Small
ORD-3381,334.5,846.16,Southeast,Plate,Automotive,Large
