OBSERVATION NUMBER,ACCIDENT,VOLUME
1,2,2025
2,7,4526
3,3,2028
4,2,3723
5,2,1337
6,1,1985
7,4,2673
8,7,1958
9,7,5811
10,8,2870
11,4,2239
12,1,1909
13,1,2372
14,7,3485
15,5,2768
16,6,2068
17,4,3453
18,4,3731
19,3,1972
20,2,2357
21,2,2049
22,9,3014
23,2,3190
24,0,1122
25,4,1341
26,2,3473
27,2,2297
28,3,3944
29,6,2173
32,14,4168
33,0,632
34,10,1620
35,2,1315
36,10,2860
37,2,1723
38,0,1147
39,0,1917
40,3,2035
41,6,3257
42,10,2841
43,8,2790
44,6,1940
45,8,1733
46,4,1881
47,11,1932
48,3,1554
49,7,2498
50,5,1699
51,5,2769
52,10,3353
53,4,2252
54,6,3837
55,1,1763
56,5,2294
57,10,3910
58,2,2922
59,6,1760
60,5,1521
61,11,3778
62,3,2200
