PersonID,Wage,Educ,Exper,Female,Industry
EMP-6451,19.20,14,16,1,Healthcare
EMP-9696,23.44,14,7,0,Healthcare
EMP-1749,30.79,14,14,1,Manufacturing
EMP-3362,95.19,18,18,1,Healthcare
EMP-3370,37.72,14,29,1,Finance
EMP-9431,75.31,16,27,1,Tech
EMP-9806,24.32,13,9,0,Healthcare
EMP-3287,31.77,16,9,0,Manufacturing
EMP-6997,24.74,13,4,0,Retail
EMP-7305,17.64,13,10,1,Manufacturing
EMP-9663,27.26,13,23,1,Manufacturing
EMP-8888,53.75,12,31,1,Manufacturing
EMP-4248,29.00,16,6,0,Manufacturing
EMP-2632,78.44,16,24,0,Manufacturing
EMP-6509,31.60,13,9,0,Healthcare
EMP-4309,65.42,18,24,0,Healthcare
EMP-2888,49.14,12,33,0,Manufacturing
EMP-7246,39.43,14,26,1,Healthcare
EMP-7899,63.19,18,23,0,Healthcare
EMP-2520,35.07,14,9,1,Healthcare
EMP-3987,37.03,13,31,1,Manufacturing
EMP-8286,31.14,16,19,1,Manufacturing
EMP-2927,28.58,13,9,0,Retail
EMP-5551,34.85,12,12,1,Healthcare
EMP-3625,34.53,12,23,1,Manufacturing
EMP-8013,56.33,15,26,0,Manufacturing
EMP-2960,31.91,16,14,0,Manufacturing
EMP-6615,28.23,12,33,1,Manufacturing
EMP-1794,25.31,12,16,0,Manufacturing
EMP-7195,17.04,13,21,0,Retail
EMP-2316,47.23,18,34,0,Finance
EMP-9221,99.18,17,18,1,Healthcare
EMP-5740,26.64,12,19,0,Retail
EMP-2053,31.12,13,6,1,Manufacturing
EMP-7782,45.82,16,10,1,Tech
EMP-9161,26.58,14,13,0,Manufacturing
EMP-1455,62.95,14,19,0,Manufacturing
EMP-4322,54.73,12,19,1,Retail
EMP-3759,28.61,12,6,1,Manufacturing
EMP-3996,68.95,17,24,0,Tech
EMP-1735,39.69,16,4,1,Manufacturing
EMP-2229,34.60,15,21,1,Healthcare
EMP-6549,28.18,12,14,1,Healthcare
EMP-1661,15.96,14,12,0,Retail
EMP-2033,49.23,14,25,0,Finance
EMP-7890,36.72,14,16,0,Manufacturing
EMP-6382,15.05,12,13,1,Manufacturing
EMP-5861,40.93,16,12,1,Tech
EMP-9931,24.43,12,8,1,Healthcare
EMP-5634,49.58,15,11,0,Healthcare
EMP-6967,44.43,12,28,1,Retail
EMP-9778,95.21,12,22,1,Healthcare
EMP-2653,46.39,16,9,0,Manufacturing
EMP-4580,38.01,12,25,0,Healthcare
EMP-9174,10.90,10,10,0,Retail
EMP-1191,30.11,14,9,0,Finance
EMP-8042,57.88,18,19,0,Finance
EMP-1581,59.74,17,26,1,Healthcare
EMP-6437,118.42,18,24,0,Tech
EMP-3864,45.46,14,21,0,Healthcare
EMP-3488,35.89,19,21,1,Healthcare
EMP-5836,47.57,16,13,0,Healthcare
EMP-5575,24.59,13,21,0,Healthcare
EMP-3275,53.34,15,38,0,Manufacturing
EMP-4983,22.37,12,24,0,Retail
EMP-1586,33.36,17,10,0,Healthcare
EMP-8867,36.71,14,24,1,Finance
EMP-1657,56.59,10,21,1,Manufacturing
EMP-8987,28.08,16,17,0,Manufacturing
EMP-5083,11.46,12,41,0,Healthcare
EMP-9843,25.49,16,15,0,Finance
EMP-5290,26.30,15,7,1,Finance
EMP-2651,26.50,12,5,1,Manufacturing
EMP-2054,18.16,15,15,1,Finance
EMP-6884,21.40,11,24,1,Retail
EMP-7337,49.07,12,7,1,Healthcare
EMP-3614,27.70,16,19,1,Manufacturing
EMP-3535,101.95,15,29,0,Finance
EMP-1716,35.92,12,24,1,Healthcare
EMP-7871,143.11,16,14,0,Manufacturing
EMP-4325,20.44,13,3,1,Retail
EMP-2720,36.18,12,13,1,Healthcare
EMP-5679,24.93,12,4,0,Retail
EMP-6930,22.31,12,13,0,Healthcare
EMP-4567,22.40,16,16,1,Tech
EMP-2380,21.99,13,14,0,Healthcare
EMP-9074,39.07,15,26,1,Healthcare
EMP-1584,26.55,15,25,0,Manufacturing
EMP-9801,24.37,16,7,1,Healthcare
EMP-6684,99.65,18,9,0,Tech
EMP-4102,22.94,12,3,0,Manufacturing
EMP-1825,38.00,12,19,1,Healthcare
EMP-9805,42.92,16,15,1,Finance
EMP-3364,36.21,15,10,1,Manufacturing
EMP-3158,71.30,16,32,1,Tech
EMP-2856,48.84,16,13,1,Healthcare
EMP-2756,28.62,12,10,1,Retail
EMP-2784,28.27,16,25,0,Finance
EMP-9933,56.30,16,14,1,Tech
EMP-2047,63.45,12,11,0,Manufacturing
EMP-8404,13.87,11,3,0,Retail
EMP-8224,22.29,12,31,0,Manufacturing
EMP-1570,98.42,20,34,0,Healthcare
EMP-8356,53.84,18,23,0,Tech
EMP-6609,28.38,13,30,1,Manufacturing
EMP-6984,35.68,16,17,1,Finance
EMP-1171,24.31,13,15,0,Retail
EMP-5622,54.32,18,6,0,Tech
EMP-2345,67.22,16,20,0,Finance
EMP-5713,29.02,12,20,0,Manufacturing
EMP-8317,105.26,19,17,0,Tech
EMP-9819,37.07,10,20,1,Manufacturing
EMP-7964,13.64,12,39,0,Healthcare
EMP-6882,69.96,16,27,0,Tech
EMP-5852,92.85,18,11,1,Healthcare
EMP-2463,18.82,14,17,0,Retail
EMP-3079,31.80,12,26,0,Manufacturing
EMP-2749,30.06,13,33,0,Retail
EMP-8336,42.77,16,18,0,Manufacturing
EMP-8968,25.37,15,13,1,Healthcare
EMP-8858,73.17,16,8,1,Finance
EMP-6347,74.55,14,18,1,Healthcare
EMP-6502,40.19,13,23,1,Healthcare
EMP-4305,13.93,15,4,1,Healthcare
EMP-9254,24.88,12,17,1,Retail
EMP-5294,69.51,14,19,1,Retail
EMP-2464,29.14,12,38,1,Manufacturing
EMP-4867,54.56,12,27,0,Retail
EMP-8203,52.56,16,6,0,Tech
EMP-8936,44.98,16,20,1,Manufacturing
EMP-1951,109.72,18,17,0,Healthcare
EMP-5211,8.92,10,2,1,Retail
EMP-5612,65.31,16,31,1,Tech
EMP-6628,16.64,12,18,1,Retail
EMP-4411,41.42,17,5,1,Finance
EMP-9556,35.38,13,5,0,Manufacturing
EMP-3117,59.53,12,31,1,Healthcare
EMP-4805,31.62,18,27,1,Tech
EMP-8586,20.14,16,22,1,Healthcare
EMP-8806,50.73,19,13,1,Healthcare
EMP-6102,23.88,12,11,0,Healthcare
EMP-2085,18.23,15,6,0,Finance
EMP-8320,9.22,12,5,1,Retail
EMP-3085,40.42,18,22,1,Finance
EMP-6412,20.20,13,14,1,Manufacturing
EMP-3209,15.14,12,10,1,Manufacturing
EMP-1405,16.28,13,3,0,Retail
EMP-3878,28.20,12,15,1,Manufacturing
EMP-9436,39.22,16,13,1,Tech
EMP-2656,48.32,16,26,0,Healthcare
EMP-6154,34.71,15,22,1,Manufacturing
EMP-3109,57.55,18,15,1,Tech
EMP-1524,60.29,13,18,0,Healthcare
EMP-6950,47.51,13,23,1,Healthcare
EMP-4843,33.35,10,29,0,Manufacturing
EMP-5690,42.30,15,15,0,Finance
EMP-6788,16.54,12,6,1,Manufacturing
EMP-5380,44.42,12,11,0,Manufacturing
EMP-9729,22.29,14,12,1,Retail
EMP-2691,91.60,18,7,1,Tech
EMP-1500,31.32,12,17,0,Manufacturing
EMP-9146,14.33,10,12,0,Retail
EMP-5087,26.56,12,5,0,Manufacturing
EMP-9258,23.68,14,20,0,Retail
EMP-4875,32.32,12,18,0,Healthcare
EMP-4210,34.42,14,29,0,Healthcare
EMP-1250,22.59,11,32,1,Manufacturing
EMP-8358,28.74,18,4,1,Healthcare
EMP-6901,78.10,12,21,0,Retail
EMP-4157,52.17,18,15,0,Tech
EMP-1276,16.05,12,20,1,Retail
EMP-9961,42.49,13,9,0,Healthcare
EMP-1273,48.85,12,35,0,Manufacturing
EMP-6285,120.44,17,37,0,Tech
EMP-7977,25.82,12,28,1,Healthcare
EMP-9873,26.62,14,16,0,Retail
EMP-8348,36.30,12,22,0,Retail
EMP-3082,18.32,12,11,0,Manufacturing
EMP-2364,34.82,16,16,1,Healthcare
EMP-6992,20.99,12,23,1,Healthcare
EMP-9654,38.24,13,13,0,Retail
EMP-2719,24.21,12,24,0,Healthcare
EMP-6298,16.29,12,19,1,Healthcare
EMP-2062,24.26,13,34,0,Healthcare
EMP-5706,35.01,18,12,1,Healthcare
EMP-7012,39.60,14,28,1,Healthcare
EMP-7872,15.46,17,4,1,Tech
EMP-2648,42.58,12,29,0,Manufacturing
EMP-1417,61.95,16,28,0,Healthcare
EMP-7678,16.42,16,3,1,Manufacturing
EMP-9915,38.72,19,12,1,Healthcare
EMP-7477,25.37,13,12,1,Retail
EMP-4987,50.37,19,11,1,Healthcare
EMP-4973,40.92,12,34,0,Retail
EMP-2992,47.22,12,16,0,Healthcare
EMP-3970,39.46,16,23,0,Manufacturing
EMP-4751,57.77,17,18,0,Healthcare
EMP-8678,41.13,16,11,0,Manufacturing
EMP-7163,95.44,20,19,0,Healthcare
EMP-5591,13.54,12,13,0,Manufacturing
