NCrashes,CPUSpeed,RAM,ModelYear,TotSysHours,SysHoursUpdate,Manufacturer,Role,Type,OS
8,2.00,8,2007,245,50,HP,Office,Laptop,Windows Vista
6,2.50,8,2009,103,49,HP,Lab,Thinline Client,Windows 7
2,3.00,8,2012,201,53,Dell,Office,Desktop,Linux
0,2.25,8,2015,173,56,HP,Office,Desktop,Linux
4,2.25,4,2016,178,47,Dell,Lab,Desktop,Linux
4,2.25,4,2007,154,54,Dell,Lab,Thinline Client,Windows 7
7,2.00,16,2015,258,45,HP,Office,Desktop,Windows 10
0,2.25,4,2012,208,51,HP,Office,Thinline Client,Windows 7
3,3.00,8,2013,134,48,HP,Lab,Thinline Client,Windows 10
1,2.25,8,2012,194,45,HP,Office,Desktop,Windows 10
8,2.00,4,2016,212,48,HP,Office,Laptop,Windows Vista
4,2.25,8,2016,197,54,HP,Lab,Laptop,Windows 7
0,2.50,4,2016,221,45,HP,Lab,Desktop,Linux
0,3.00,4,2012,191,51,HP,Lab,Desktop,Linux
0,2.00,16,2013,262,52,Dell,Office,Laptop,Windows 7
4,2.25,8,2015,238,56,HP,Lab,Laptop,Windows Vista
2,2.00,8,2009,176,52,Dell,Office,Laptop,Windows Vista
7,3.00,8,2009,281,52,Dell,Office,Laptop,Windows 7
2,2.00,4,2013,287,43,Dell,Lab,Thinline Client,Windows 7
6,2.00,16,2011,340,43,Dell,Lab,Laptop,Windows Vista
1,2.25,16,2007,147,53,HP,Office,Desktop,Windows 10
6,3.00,8,2014,189,59,HP,Office,Laptop,Windows Vista
1,2.25,8,2008,214,50,Dell,Office,Thinline Client,Windows 7
6,2.00,8,2009,180,53,HP,Office,Desktop,Linux
9,3.00,4,2007,185,50,Dell,Lab,Laptop,Windows Vista
1,2.00,4,2010,128,53,Dell,Lab,Laptop,Windows 7
5,2.00,8,2010,190,52,Dell,Lab,Thinline Client,Windows 10
2,2.00,16,2014,210,44,Dell,Office,Laptop,Windows Vista
5,2.00,16,2012,122,48,HP,Office,Laptop,Windows Vista
5,3.00,16,2012,226,56,Dell,Lab,Thinline Client,Windows 10
4,2.00,4,2015,210,63,HP,Lab,Desktop,Linux
3,2.25,16,2013,86,52,Dell,Lab,Laptop,Windows 7
3,3.00,16,2007,209,54,Dell,Lab,Laptop,Windows Vista
5,2.00,16,2008,253,48,HP,Office,Thinline Client,Windows 7
5,2.50,16,2016,237,52,Dell,Lab,Thinline Client,Windows 7
9,2.00,16,2008,170,48,Dell,Lab,Laptop,Windows Vista
0,3.00,16,2015,148,45,Dell,Lab,Laptop,Windows 7
0,2.50,16,2015,238,52,HP,Lab,Desktop,Linux
2,2.50,4,2012,141,48,HP,Lab,Thinline Client,Windows 7
5,2.25,4,2009,119,44,HP,Lab,Laptop,Windows 7
6,3.00,8,2016,175,48,Dell,Office,Laptop,Windows Vista
7,2.50,16,2016,240,45,HP,Lab,Desktop,Linux
5,2.00,4,2010,270,62,Dell,Office,Desktop,Windows 10
5,3.00,4,2011,215,49,Dell,Office,Desktop,Linux
6,3.00,8,2013,114,56,HP,Lab,Thinline Client,Windows 10
2,2.00,16,2010,215,55,HP,Lab,Laptop,Windows Vista
2,2.25,4,2014,168,41,Dell,Lab,Laptop,Windows Vista
3,3.00,16,2008,253,41,Dell,Office,Desktop,Linux
2,2.25,8,2015,166,54,Dell,Office,Laptop,Windows Vista
0,3.00,8,2013,138,43,Dell,Lab,Desktop,Linux
2,2.50,16,2011,214,50,Dell,Office,Desktop,Linux
5,2.00,16,2012,190,54,Dell,Office,Desktop,Windows 10
5,3.00,8,2007,188,52,Dell,Lab,Thinline Client,Windows 7
0,2.00,4,2012,218,39,HP,Lab,Thinline Client,Windows 10
3,2.25,4,2010,244,48,HP,Lab,Thinline Client,Windows 10
3,3.00,16,2011,220,54,HP,Office,Desktop,Linux
3,2.00,16,2010,81,58,Dell,Office,Desktop,Linux
