ID,Name,Neighborhood,Room Type,Bathrooms,Bedrooms,Price
38432512,Cozy and Big Apartment Madrid,Centro,Shared room,1,1,16.00 
264054,"SINGULAR BUILDING, 5 FLOORS  250m2",Justicia,Entire home/apt,1,1,55.00 
38445772,Piso ubicado en un lugar estratégico de Madrid,Embajadores,Shared room,1,1,14.00 
70315,Superbly located 2 bedrooms 2 balconies,Barajas,Entire home/apt,1,1,100.00 
263748,"LOFT ""C"" modern design loft IFEMA",Arganzuela,Entire home/apt,1,1,54.00 
199016,Room in central top floor with 2 terraces,Centro,Entire home/apt,1,1,75.00 
211444,Private Room in a Sunny and Luxuriously Appointed Apartment,Centro,Entire home/apt,1,1,67.00 
38727654,Apartamento Confortable a 300 m de la Gran Vía.,Chamberí,Shared room,1,1,45.00 
339751,Madrid Centro 1to6 people Metro Bus wifi.TWO ROOMS,Palacio,Private room,1.5,1,48.00 
310678,Precioso apartamento en Gran Via,Ciudad Lineal,Private room,1,1,35.00 
191661,PLAZA MAYOR LOFT the genuine Madrid,Centro,Entire home/apt,1,2,100.00 
260656,Quiet duplex apartment in Lavapiés,Centro,Entire home/apt,1,2,80.00 
177500,Fuencarral studio A,Sol,Entire home/apt,5,4,481.00 
229664,Beautiful cozy loft madrid center,Centro,Entire home/apt,1,1,89.00 
38698432,SR6b Estudio+ Familias Grupos Madrid Ciudad,Villaverde,Shared room,2,1,250.00 
38690862,Luminoso y tranquilo apartamento,Vicálvaro,Shared room,1,1,9.00 
353713,PRIVATE ROOM. HEART OF MADRID.,Recoletos,Private room,1,1,68.00 
72150,Sunny attic duplex flat with terrace next to Sol,Centro,Entire home/apt,1,1,85.00 
82481,"Retiro Park, Stay at cosy studio ",La Latina,Entire home/apt,1,1,55.00 
93100,*** MALASAÑA B&B ***,Cortes,Entire home/apt,1,1,73.00 
102040,Nice Single Room with wifi.,San Blas,Entire home/apt,1,2,48.00 
345249,CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT,Centro,Private room,1,1,19.00 
84719,Cool Apart. (10min Center + WIFI),Centro,Entire home/apt,1,1,65.00 
163429,Centrical loft in Madrid (Chamberi),Centro,Entire home/apt,1,1,65.00 
101507,NICE FLAT IN THE CENTER OF MADRID,Centro,Entire home/apt,1,1,65.00 
334281,Heart of Madrid - 2 bedroom flat,Chamartín,Private room,1,1,17.00 
176826,Habitacion 6,Lista,Entire home/apt,1,2,31.00 
70310,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",Centro,Entire home/apt,1,1,200.00 
280733,Gran Via apartment I,Centro,Entire home/apt,1,2,50.00 
261878,GREAT STUDIO! BEST REVIEWS! CENTRAL,Centro,Entire home/apt,1,1,33.00 
336869,Direct to Plaza Mayor!,Centro,Private room,1,1,44.00 
86042,Cozy attic flat with intimate rooftop terrace,Cortes,Entire home/apt,1,1,76.00 
339144,COZY APARTMENT MADRID MALASAÑA,Malasaña,Private room,1,1,58.00 
209780,The Mad B&B - Cool 3BD with Wifi & AC,Sol,Entire home/apt,3,4,210.00 
120762,SHINY ROOM in DOWNTOWN / MALASAÑA!!,Chamberí,Entire home/apt,1,2,75.00 
345195,DUPLO Heart of Madrid/Malasaña,Arganzuela,Private room,0.5,1,30.00 
342095,Lovely apartment CENTRAL MADRID !,Salamanca,Private room,0,1,40.00 
260951,"Spectacular Loft ""A"" Ifema  Madrid",Centro,Entire home/apt,1.5,1,31.00 
72955,Madrid Apartment Prado Museum,Bellas Vistas,Entire home/apt,2,4,75.00 
150123,LOFT ELOISA,Centro,Entire home/apt,2,2,110.00 
294520,rented room in the center of madrid,Centro,Entire home/apt,1,1,50.00 
170750,2-bedroom attic & rooftop terrace,Centro,Entire home/apt,1,2,100.00 
342557,Berlin's Park at your window. Parking included.,Centro,Private room,1,1,35.00 
38699640,a 25-minutos del centro de MADRID near Subway,Arganzuela,Shared room,1,1,12.00 
102091,Family Apartment Two Bedrooms& Two Bathroom,Centro,Entire home/apt,2,2,80.00 
259249,2-bedroom flat right in the center.,Retiro,Entire home/apt,1,1,49.00 
