EEOB,TYPE,ALOS,OUTFAC
3.48398,NR,5,1.33
3.81954,NR,4.77,1.38
3.78199,R,4.79,1.38
3.62637,R,4.8,1.38
3.71777,NR,4.83,1.35
3.65478,R,4.93,1.36
4.06309,R,4.89,1.34
4.01052,NR,4.66,1.38
3.96031,R,5.07,1.36
3.94062,R,4.87,1.33
3.84412,R,5.35,1.34
3.88113,R,5.11,1.32
3.68376,NR,4.99,1.33
3.88818,NR,5.15,1.31
4.02518,R,5.07,1.32
3.98476,NR,5.03,1.34
3.96581,R,5.11,1.32
4.05655,NR,4.69,1.36
3.94554,R,4.77,1.37
3.91304,R,5.22,1.39
3.82931,NR,5.13,1.41
3.84637,R,5.27,1.41
3.99485,R,5.35,1.39
4.10468,NR,5.14,1.43
4.16667,NR,5.11,1.4
4.12059,NR,5.15,1.38
4.1569,R,4.96,1.43
4.22772,NR,5.14,1.39
4.33385,R,4.64,1.38
4.20091,R,4.93,1.39
4.32915,R,4.86,1.38
4.36335,R,4.61,1.4
4.15146,R,4.9,1.43
4.01597,NR,4.92,1.39
3.65269,NR,5.8,1.27
3.49052,NR,5.86,1.23
3.67898,R,6.38,1.21
3.83391,NR,5.79,1.25
3.96286,NR,5.93,1.31
4.12088,NR,5.68,1.27
4.08629,R,5.76,1.24
4.12897,R,5.56,1.24
3.74883,R,6.12,1.25
4.0321,NR,5.59,1.25
4.24788,R,5.83,1.24
4.02778,R,6.04,1.21
4.06983,R,5.61,1.21
4.11888,R,5.95,1.22
4.11173,R,5.62,1.24
4.04555,NR,5.12,1.23
3.91304,NR,5.62,1.23
3.8722,NR,4.7,1.62
3.79899,NR,4.84,1.64
3.82669,NR,4.75,1.63
3.97713,R,4.82,1.61
3.90625,R,4.6,1.67
3.83292,R,4.61,1.64
4.0615,NR,4.32,1.7
3.98851,R,4.52,1.69
4.01758,R,4.37,1.58
4.12397,R,4.67,1.57
4.11028,NR,4.68,1.62
4.19842,NR,4.67,1.57
3.97163,NR,4.68,1.57
4.05423,NR,4.68,1.59
4.25926,R,4.61,1.52
3.84268,R,4.63,1.63
3.70738,R,4.68,1.59
3.68235,R,4.37,1.66
3.67169,NR,4.49,1.71
3.86041,R,4.31,1.72
3.65269,NR,4.26,1.79
3.74319,R,4.45,1.81
3.89925,NR,4.52,1.76
4.05267,NR,3.88,1.75
3.80409,R,4.21,1.77
3.83043,R,4.1,1.74
4.26431,NR,4.13,1.69
4.07954,R,4.53,1.61
4.1497,R,4.15,1.61
3.97849,NR,4.26,1.59
3.97132,R,4.27,1.58
3.96391,NR,4.7,1.51
3.89486,R,4.36,1.58
3.92193,NR,4.45,1.53
4.21501,NR,5.66,1.34
4.35007,R,5.56,1.34
4.41328,NR,6.06,1.32
4.27069,NR,5.77,1.35
4.40615,R,5.84,1.35
4.91324,NR,5.47,1.35
4.86264,R,5.53,1.38
4.8268,NR,5.65,1.37
4.7573,NR,5.33,1.35
4.61353,NR,5.53,1.36
4.8209,R,5.74,1.33
4.72624,R,5.1,1.36
4.62174,NR,5.52,1.34
4.53734,NR,5.74,1.32
4.45165,R,5.86,1.33
4.45484,R,5.35,1.35
4.63447,NR,5.57,1.34
3.6748,NR,5.59,1.57
3.56278,NR,5.31,1.57
3.83711,NR,5.58,1.51
3.86438,NR,5.41,1.52
3.95801,NR,5.28,1.58
4.15992,NR,5.32,1.58
4.1865,NR,5.08,1.57
4.06103,R,4.86,1.52
3.87537,R,4.96,1.48
3.95289,R,5.21,1.52
4.19421,R,5.07,1.45
4.15775,NR,5.13,1.47
3.8846,NR,5.09,1.43
4.08365,NR,5.18,1.48
3.73803,R,5.34,1.46
3.67665,NR,5.3,1.42
3.79497,NR,5.49,1.42
3.76093,NR,4.66,1.54
3.57839,R,4.98,1.52
3.90209,NR,5.44,1.53
3.96084,NR,5.05,1.55
4.1192,R,5.07,1.52
4.30501,NR,4.93,1.56
4.75155,R,4.52,1.53
4.20331,NR,4.56,1.56
4.34676,R,4.49,1.57
4.46365,R,4.7,1.53
4.79649,R,4.61,1.49
4.48593,R,4.71,1.44
3.92486,NR,4.75,1.46
3.99795,R,4.62,1.46
4.17175,R,5.1,1.43
3.90269,NR,4.93,1.49
4.02446,R,4.93,1.5
3.74104,R,4.85,1.36
3.60849,NR,5.49,1.35
3.78646,R,5.28,1.35
3.83342,NR,5.02,1.4
3.98058,NR,4.85,1.44
3.75806,NR,4.96,1.41
4.07119,NR,4.62,1.42
3.9632,NR,4.68,1.4
3.90609,R,4.7,1.43
4.04858,NR,4.75,1.43
4.15718,R,4.59,1.43
3.94236,NR,4.78,1.4
3.81731,NR,5.03,1.39
3.84904,NR,5.16,1.37
3.95279,NR,4.84,1.43
4.12281,NR,4.59,1.49
4.10256,NR,4.64,1.46
3.58846,R,4.16,1.59
3.62972,R,4.36,1.58
4.02204,NR,4.43,1.63
3.81818,NR,4.11,1.72
3.74356,NR,4.28,1.65
3.75784,R,4.14,1.65
4.14235,R,4.14,1.72
3.77215,R,4.28,1.68
4.02562,NR,4.08,1.65
3.89062,R,4.26,1.61
3.81418,R,4.51,1.62
4.20408,R,4.33,1.57
4.01418,NR,4.17,1.56
3.88088,NR,4.06,1.55
3.92157,NR,3.99,1.54
3.74619,NR,4.09,1.49
3.87261,NR,4.05,1.51
4.05745,NR,2.95,1.9
3.68839,NR,3.44,1.8
4.16819,R,3.19,1.92
4.26443,NR,2.8,2.06
4.47471,NR,2.53,2.11
4.28829,R,2.78,2.08
4.51493,NR,2.73,2.01
3.95765,NR,2.76,1.98
4.17508,R,2.77,1.89
3.92966,NR,2.68,1.92
4.17323,R,2.77,1.83
4.28336,NR,2.58,1.82
3.99689,NR,2.8,1.75
4.39929,NR,2.81,1.86
4.02516,R,3.02,1.67
3.79509,R,2.73,1.88
4.41941,R,2.66,1.95
2.07368,R,4.74,1.23
1.84851,R,5.6,1.24
2.02393,R,5.81,1.25
1.96998,R,5.2,1.27
2.01807,NR,5.47,1.29
2.09598,R,5.89,1.25
2.03828,R,5.96,1.25
2.04831,R,5.77,1.25
2.11889,NR,6.01,1.22
2.13793,R,5.6,1.24
2.18069,R,5.42,1.25
2.18848,NR,5.73,1.23
1.99259,NR,5.77,1.26
2.03953,R,6.44,1.24
1.99817,NR,5.74,1.25
2.10621,NR,5.53,1.27
2.15962,NR,5.61,1.24
