NTrans,Credit,AvgBal,AgeAccount,NAccounts,NAddress,Fraud,Type
173,834,3932,18,3,1,N,Ind
122,511,6247,5,2,2,N,Com
195,577,4681,25,2,1,N,Pri
235,662,4597,24,4,0,N,Ind
173,554,6607,10,3,1,N,Ind
200,320,4999,14,1,1,N,Gov
213,679,4018,19,2,1,Y,Ind
195,641,5837,17,3,1,N,Com
188,594,6164,29,2,2,N,Ind
206,739,3065,15,3,1,N,Gov
165,542,6917,28,4,1,N,Pri
168,638,4029,30,3,1,N,Pri
223,491,5820,13,2,2,N,Ind
158,502,7735,20,4,1,N,Com
189,415,5925,25,4,1,N,Gov
195,767,8376,2,3,1,N,Ind
206,623,5130,8,2,1,N,Com
222,732,5124,15,2,0,N,Gov
198,537,3808,34,2,0,N,Pri
181,657,4186,11,1,1,N,Com
204,678,3720,23,1,1,Y,Ind
188,637,4978,17,3,1,N,Gov
220,324,3650,29,3,1,N,Com
215,591,3044,32,2,1,Y,Ind
192,434,6398,12,4,1,N,Gov
228,648,3183,23,4,0,N,Com
209,553,4451,14,3,0,N,Gov
212,684,4145,22,4,1,Y,Ind
225,627,7806,16,2,0,N,Ind
212,552,4906,17,2,1,N,Gov
240,474,9093,27,2,0,N,Gov
174,286,6287,0,4,1,N,Com
216,719,4171,19,4,1,N,Com
252,587,4192,20,2,1,Y,Pri
194,550,5850,11,3,2,N,Com
227,682,6285,30,2,1,N,Ind
209,541,5184,19,2,1,Y,Ind
211,683,5731,27,4,1,N,Ind
231,655,5192,27,3,1,N,Pri
175,281,4708,8,2,2,N,Com
213,509,7729,23,3,1,N,Gov
228,761,5933,30,5,1,N,Ind
210,451,3509,18,4,2,Y,Pri
220,650,4954,27,1,1,N,Ind
223,763,7472,23,2,0,N,Ind
221,700,4115,27,3,1,Y,Gov
152,508,2867,25,4,0,N,Pri
230,683,6096,24,2,1,N,Gov
185,722,3668,14,4,1,N,Ind
191,615,4753,23,4,2,N,Pri
196,538,6219,22,2,2,N,Com
198,653,8139,16,3,1,N,Pri
209,756,4485,7,4,1,N,Com
234,668,2998,31,3,2,N,Pri
195,632,5114,19,2,1,N,Pri
188,483,6464,23,2,1,N,Pri
193,632,3285,21,3,1,N,Com
226,747,5584,26,2,1,N,Gov
223,570,6582,22,3,1,N,Ind
190,683,5079,21,4,1,N,Com
218,443,5915,15,4,1,N,Com
203,390,5275,22,2,1,N,Ind
184,481,5230,14,1,2,N,Com
251,683,6920,33,1,1,Y,Gov
176,519,3956,9,4,1,N,Pri
221,640,7386,11,2,1,N,Com
226,538,6851,19,1,1,N,Com
274,609,6082,28,0,0,N,Com
220,629,4074,19,2,0,N,Com
226,692,4427,26,2,1,N,Com
171,518,4885,23,3,1,Y,Gov
222,664,4574,20,3,1,Y,Ind
225,613,3371,10,1,1,N,Com
246,547,7112,14,2,0,N,Ind
235,549,3541,30,1,0,N,Pri
189,512,5172,22,1,1,N,Com
265,748,5111,16,3,0,N,Pri
180,604,4847,19,2,1,N,Pri
186,739,5127,11,3,1,N,Pri
203,334,5404,14,1,0,Y,Gov
188,560,4123,15,3,1,N,Pri
191,599,6733,28,3,2,N,Ind
248,516,5500,6,2,1,N,Gov
