Channel,Grocery,Frozen
1,0.7561,0.0214
1,0.9568,0.1762
1,0.7684,0.2405
2,0.4221,0.6404
1,0.7198,0.3915
1,0.5126,0.0666
1,0.6975,0.0480
1,0.9426,0.1669
2,0.6192,0.0425
1,1.8881,0.1159
1,1.2974,0.4400
1,0.4523,0.1420
1,1.1757,0.0287
1,1.4982,0.3095
1,1.2091,0.0294
2,0.3821,0.0397
1,1.2121,0.0134
2,0.2933,0.0839
1,1.0099,0.2205
2,0.9464,0.0669
1,0.4602,0.1066
2,0.2010,0.3383
2,0.4469,0.9408
1,2.2019,0.5154
1,1.3792,0.2915
1,0.7595,0.0201
2,0.2861,0.3151
2,0.3045,0.0485
1,2.5957,0.1158
2,0.2609,0.1200
2,1.1107,0.1148
2,0.3133,0.2088
2,0.2886,0.0266
2,0.7326,0.6130
2,0.2262,0.0425
1,1.1091,0.0833
2,0.5428,0.1729
1,1.2477,0.1920
1,1.6709,0.0033
2,0.0902,1.0002
2,0.4757,0.9510
2,0.5956,0.2033
1,1.4961,0.0188
1,2.3998,0.0787
1,1.0471,0.0541
1,2.1531,0.1740
1,2.1955,0.1668
1,5.5571,0.7782
1,1.0868,0.0584
1,2.8921,0.1798
2,0.1980,0.3860
2,0.6996,0.0239
1,0.5876,0.0532
1,1.1532,0.0744
2,0.1947,0.2436
2,0.5005,0.1057
1,2.6866,0.2616
1,1.0487,0.0038
2,0.1648,0.0596
2,0.8040,0.0129
1,0.7854,0.0096
1,5.9598,0.3254
1,0.6544,0.4154
1,1.5775,0.2896
2,0.3250,0.3724
1,4.5828,0.0036
2,0.7417,0.0175
1,1.3462,0.1256
2,0.3993,0.5870
2,0.1293,0.0779
2,0.3202,1.0643
2,2.1042,0.5373
2,0.2661,0.8872
1,0.8713,0.8132
1,0.9794,0.1285
2,0.0003,0.4407
2,0.6532,0.7530
1,2.8540,0.0869
2,0.2067,0.2096
2,0.3655,0.0868
2,0.3009,0.0430
1,1.4403,0.0283
1,1.1009,0.0737
2,0.1783,0.2320
1,0.4814,0.1178
1,9.2780,0.1026
1,3.2114,0.0987
2,0.8117,0.6312
2,0.4042,0.9735
2,0.5330,0.3443
2,0.1638,0.3347
2,0.2530,0.8693
1,3.2034,0.3232
2,0.2062,3.5009
1,1.1323,0.0206
2,0.6252,0.0440
1,0.8118,0.0145
2,0.0610,0.0774
2,0.0778,0.0895
2,0.1909,0.5639
1,1.2144,0.3252
1,1.6267,0.1593
1,0.7677,0.2561
2,0.8906,1.8028
2,0.3445,0.1336
2,0.3970,0.0910
1,1.0704,0.0133
1,1.4886,0.2471
1,0.6981,0.0247
1,2.8986,0.0673
2,0.1694,0.2276
1,1.7569,0.0805
2,0.2469,0.8853
2,0.1733,0.3220
2,0.2000,0.2555
2,0.2988,0.2715
2,0.3355,0.1517
2,0.5380,0.1647
2,0.2362,0.5343
2,0.2147,0.3896
2,0.3412,0.2417
2,0.1498,0.2395
2,0.0245,0.1991
1,0.8814,0.2194
2,0.2961,0.4787
2,0.7102,1.6538
2,0.1658,0.8195
1,1.0685,0.0880
2,0.3823,0.0142
2,0.1510,0.1718
2,0.0699,0.6316
2,0.0314,0.0346
2,0.2479,0.0576
2,0.1235,0.0436
2,0.2174,0.0720
2,0.2591,0.1170
2,0.7030,0.4575
2,0.8282,0.0661
2,0.5034,0.0155
2,0.3343,0.0825
2,0.7305,0.2279
2,0.5189,0.0321
2,0.8253,0.2995
2,0.1096,0.8425
2,0.1988,0.0118
1,3.4792,0.0042
2,0.2177,0.0926
2,0.2707,0.1286
2,0.0542,0.4052
2,0.1651,0.0800
2,0.1765,0.0853
2,0.2022,0.0531
2,0.3135,0.3001
2,0.2368,0.0779
2,0.0137,0.0075
1,1.9460,0.0233
1,1.4855,0.0317
2,0.2474,0.3378
1,0.9618,0.0930
1,1.4682,0.0398
1,1.2822,0.0824
2,0.0283,0.1092
2,0.3810,0.2665
1,2.6870,0.2367
1,0.8584,0.2540
1,1.9858,0.4425
1,0.9170,0.0993
2,0.3268,0.0405
2,0.0803,0.1393
2,0.2155,0.2399
1,1.3430,0.1116
1,1.9816,0.0651
2,0.6536,0.0333
1,1.9805,0.0937
2,0.5241,0.2515
1,1.1874,0.0052
2,0.6536,0.7368
2,0.4533,0.1752
2,0.4945,0.1152
2,0.2500,0.4477
2,0.8887,0.0402
2,1.8148,1.6745
2,1.0518,0.0443
2,2.0170,3.6534
2,0.4710,0.0074
2,0.1139,0.2181
2,0.0854,0.3470
2,0.9819,0.6269
1,1.1687,0.2758
1,1.1522,0.0275
2,0.1981,0.7332
2,0.1381,0.0890
2,0.2251,0.0547
1,2.0292,0.0959
2,0.2974,0.0806
2,0.5230,0.7888
2,0.4897,1.8711
1,1.0391,0.1127
2,0.6824,0.3527
2,0.2112,0.0520
1,2.3127,0.3941
1,2.4708,0.3549
2,0.9490,0.5065
2,0.2216,0.0469
2,0.5226,0.1383
1,2.3596,0.0955
2,0.0950,0.0878
1,0.6089,0.2946
2,0.5838,0.1859
1,1.6767,0.0864
2,0.1393,0.1801
1,3.9694,0.4736
2,0.2062,0.1291
2,0.6861,0.1329
1,1.1364,0.0913
2,1.5538,0.1374
1,3.6486,0.0179
2,0.2046,0.2532
1,1.5205,0.1285
2,0.1390,0.2306
2,0.1382,0.1765
2,1.0646,0.0091
2,0.2856,0.7496
1,0.5265,0.5612
2,0.1499,0.0784
2,0.4157,0.0660
1,0.9212,0.1759
2,0.1563,0.2286
2,0.0572,0.0950
2,0.2501,0.6845
1,0.5615,0.8321
2,0.3828,0.1439
2,0.3838,0.0638
2,0.3316,0.0937
2,0.3833,0.4260
2,0.2824,0.1218
2,0.3047,0.2312
2,0.0593,0.4634
2,0.0585,0.1112
2,0.3779,0.5243
2,0.7041,1.1422
2,0.2475,0.2216
2,0.2914,0.3752
2,0.5119,0.0561
2,1.0817,0.1183
1,1.3916,0.0230
2,0.1777,0.1777
2,0.0489,0.2077
2,0.2406,0.0559
2,0.2070,0.6340
2,0.1799,0.1730
1,3.3586,0.6746
2,0.4740,0.7683
2,1.6966,0.0432
2,0.4748,0.4686
2,0.1495,0.3242
2,0.5249,0.0453
2,0.1883,0.5004
2,0.2124,0.6422
2,0.7336,0.3012
2,0.2157,0.0327
2,0.1094,0.6818
2,0.1677,0.0982
2,0.6684,0.4324
1,1.5445,0.0061
2,1.3699,1.0155
1,2.2182,0.2221
2,0.2576,0.3975
1,1.9847,0.1069
2,0.1138,0.2516
2,0.0975,0.5500
2,0.1563,0.1120
2,0.6869,0.0529
2,0.1493,0.4802
2,0.1841,0.0744
2,0.0223,0.0862
2,0.6964,0.4479
2,0.0683,1.6919
2,0.2543,0.5845
1,0.9694,0.1293
2,0.2431,0.0977
1,0.6235,0.1093
2,0.4252,0.5970
2,0.2013,1.0303
2,1.2609,0.8692
