Price,Beds,Baths,Square Feet,Acres,Cars,Years Old,DoM
 700 ,2,2," 1,500 ",0.25,2,35,92
 560 ,1,1, 768 ,0.29,0,37,67
 628 ,4,1," 1,598 ",0.32,1,14,45
 924 ,3,4," 2,755 ",0.23,3,23,412
 735 ,3,2.5," 2,083 ",1.33,2,15,173
" 1,040 ",6,5," 3,875 ",0.25,0,12,95
 915 ,4,2.5," 2,340 ",0.34,2,4,120
 712 ,4,1," 1,348 ",0.11,0,23,121
" 1,010 ",6,4," 3,570 ",2.8,2,30,42
 690 ,2,2," 1,040 ",6.12,3,26,126
 721 ,4,2.5," 1,600 ",2.5,0,19,16
 930 ,4,2," 1,900 ",10.5,2,15,102
 800 ,3,2," 1,213 ",0.17,1,5,98
 773 ,2,2," 1,300 ",0.67,2,67,158
 700 ,3,2," 1,456 ",0.24,1,78,172
 820 ,3,2.5," 2,240 ",0.25,2,13,87
 778 ,3,3," 1,816 ",0.1,2,18,191
 730 ,4,2," 2,000 ",0.33,1,15,45
 896 ,4,2.5," 1,858 ",0.52,2,9,39
 874 ,4,2.5," 1,700 ",0.25,2,19,308
 740 ,2,1, 968 ,1.86,0,11,23
 690 ,4,2," 3,250 ",0.5,2,19,94
 848 ,3,2," 2,002 ",0.18,1,18,126
 764 ,3,3," 2,100 ",0.125,2,20,126
 565 ,2,1," 1,440 ",0.45,0,76,62
 816 ,3,2.5," 1,884 ",0.18,2,16,105
 918 ,6,4," 2,016 ",0.68,0,23,63
 650 ,1,1, 930 ,0.59,0,26,92
 930 ,4,4," 2,700 ",1.2,3,15,85
 635 ,2,2," 1,590 ",0.49,2,15,54
" 1,060 ",4,4.5," 2,950 ",0.67,4,4,135
 820 ,3,2," 1,922 ",0.29,1,80,103
 730 ,3,2," 1,771 ",0.23,2,4,127
 940 ,5,4," 2,560 ",0.45,2,4,205
 784 ,3,2," 2,160 ",0.125,0,20,54
" 1,090 ",3,2.5," 1,948 ",21.91,2,20,403
 788 ,3,2," 2,464 ",0.96,2,3,61
 830 ,3,2.5," 1,774 ",0.18,2,3,150
 590 ,2,1," 1,058 ",0.5,0,69,62
 630 ,2,1," 1,200 ",40,2,21,211
 678 ,3,2," 1,400 ",0.23,1,14,228
 870 ,4,2.5," 1,800 ",0.24,2,12,76
 652 ,3,2," 1,160 ",2.52,0,17,296
 930 ,5,4," 2,525 ",0.78,2,5,21
 720 ,3,2," 2,000 ",1,0,4,20
