prate,mrate,totpart,totelg,age,totemp
26.1,0.21,1653,6322,8,8709
100,1.42,262,262,6,315
97.6,0.91,166,170,10,275
100,0.42,257,257,7,500
82.5,0.53,591,716,28,933
100,1.82,92,92,7,143
100,0.53,399,399,31,628
92.5,0.34,210,227,13,823
100,0.22,234,234,21,279
96.8,0.6,120,124,10,141
83,0.5,156,188,5,252
100,1.11,187,187,20,237
65.5,0.43,350,534,5,681
84.9,0.51,1519,1790,10,2557
100,0.19,150,150,7,187
100,0.41,160,160,7,188
100,0.84,3448,3448,13,4120
77.6,0.46,225,290,15,341
100,0.45,519,519,15,598
100,1.13,176,176,8,273
66.9,0.48,79,118,5,224
100,0.39,270,270,7,415
70.3,0.21,201,286,7,361
100,0.95,381,381,23,422
51.3,0.34,284,554,9,797
61.3,0.36,171,279,15,2102
88.3,0.96,3858,4371,28,4371
100,0.87,143,143,8,143
82.9,4.2,107,129,7,131
77.8,0.08,770,990,6,1042
100,0.91,179,179,6,312
90.1,0.44,2803,3110,6,3543
85.3,0.62,93,109,13,158
100,0.28,425,425,7,458
100,0.59,2027,2027,7,2442
75.6,0.3,438,579,11,1721
100,0.56,584,584,7,685
100,0.65,1284,1284,5,1559
100,1.31,109,109,37,297
78.2,0.21,1017,1301,7,2125
77.4,0.41,209,270,7,381
100,0.23,145,145,6,405
77,0.41,612,795,12,1125
100,2.03,133,133,35,206
98.9,0.52,275,278,42,297
75.3,0.39,192,255,6,1024
77.2,0.16,464,601,6,636
100,0.99,542,542,9,622
88.5,0.1,3107,3510,5,6428
100,0.02,732,732,7,2284
