ABSENT,COMPLX,PAY,SENIOR,AGE,DEPEND
0,45,6,3,28,2
1,76,8,10,42,1
0,56,5,9,40,5
2,76,8,7,34,2
0,70,8,14,39,2
1,69,6,9,44,0
1,56,6,3,40,1
1,56,5,1,35,0
2,43,7,9,32,0
1,76,6,1,41,1
3,30,5,1,27,1
2,50,7,9,40,0
1,10,5,1,30,1
3,69,6,4,35,0
2,67,8,3,33,1
0,69,6,4,32,1
4,70,7,8,37,1
7,13,6,1,26,2
3,16,8,3,36,2
2,52,7,5,28,2
2,52,7,16,40,1
4,3,6,2,26,0
2,6,5,4,38,2
0,67,8,6,33,1
3,10,5,1,26,0
3,89,10,18,48,0
3,21,5,2,34,1
0,34,6,4,26,1
2,12,8,6,40,2
3,70,7,2,34,2
1,69,6,11,49,2
4,13,6,1,35,1
2,30,6,13,51,5
1,43,5,1,25,1
3,8,6,2,29,0
2,69,7,2,34,2
4,30,5,1,36,2
4,23,5,1,31,2
4,16,7,1,28,2
3,11,6,1,32,2
2,16,6,1,30,2
6,50,6,2,30,2
3,50,6,2,28,0
1,69,9,4,31,4
2,10,6,2,34,1
1,43,7,26,54,1
1,12,6,1,28,0
3,76,7,5,28,2
2,56,5,2,35,2
0,6,6,8,43,4
0,8,7,3,29,4
1,45,5,2,32,3
3,43,6,5,31,3
6,23,5,1,26,1
3,1,7,7,46,1
2,82,8,1,23,1
2,1,6,1,20,0
4,1,6,1,35,3
3,70,8,4,32,2
0,76,7,6,34,0
0,82,9,7,38,0
1,50,6,9,33,2
1,70,9,8,45,1
1,81,7,5,27,1
2,70,8,9,33,4
3,1,7,2,30,3
2,8,6,1,32,2
2,23,5,2,24,3
2,21,6,12,47,4
2,82,9,7,33,5
1,67,9,28,54,3
0,81,7,18,45,2
1,43,8,6,40,0
4,6,6,3,21,1
3,13,7,8,29,4
2,52,7,7,31,1
3,52,5,1,27,1
