Stock,Gross Profit,Operating Expenses,Interest Expense,Earnings before Tax,Preferred Dividends,EPS
AGNC,2.29E+08,1.00E+08,0,1.65E+08,7.20E+07,0.21
CUO,27807000,35385000,539000,-8041000,0,-3.45
WBS,1147249000,705616000,0,441633000,8715000,3.83
WAIR,403156000,293688000,48880000,60612000,0,0.33
AMT,5262300000,3357300000,825400000,1126300000,9400000,2.79
TRVG,670568965.5,0,0,-24700000,0,-0.07
FII,1135677000,805397000,5885000,294172000,0,2.18
CNX,1234795000,716753000,145934000,1012090000,0,3.75
TA,529754000,503038000,29003000,-122127000,0,-15.10
QNST,58411000,42088000,0,16504000,0,0.34
VRTS,552235000,439136000,84233000,108490000,8337000,9.37
SHG,5694792883,9382125079,0,4013487285,0,5.91
CRMT,296928000,103364000,5599000,38906000,40000,5.04
OLLI,431647000,295891000,4471000,130487000,0,2.08
OFC,318751000,171883000,75385000,71938000,0,0.69
CYBR,294738000,247446000,0,51843000,0,1.30
DZSI,91331000,84151000,1738000,4491000,0,0.17
CINF,1.92E+09,1.61E+09,5.30E+07,2.51E+08,0,1.76
OLP,67530000,36092000,17862000,21035000,0,1.05
DISH,4354553000,2206932000,15006000,2108775000,0,3.37
BKD,764575000,1065578000,272109000,-577714000,0,-2.82
SFBS,260717000,91875000,0,168842000,63000,2.57
NRG,2.37E+09,1.39E+09,4.83E+08,2.75E+08,0,0.88
PRLB,238679000,149781000,0,91655000,0,2.84
DIOD,435276000,280794000,9901000,148577000,0,2.09
HBCP,101510000,63225000,0,38285000,0,3.48
RESN,524000,25817000,0,-24815000,0,-0.98
QES,135852000,141588000,11825000,-16015000,0,-0.50
NETE,10169646,14500767,847179,-4936182,0,-1.28
VCYT,58930000,81163000,1963000,-22999000,0,-0.62
CAH,7.18E+09,7.08E+09,3.29E+08,-2.31E+08,0,0.82
ON,2238700000,1391500000,128200000,752500000,0,1.48
AMKR,710565000,452421000,78946000,183342000,0,0.53
SRLP,325748000,202836000,38931000,84851000,7879000,3.17
AGCO,1996700000,1582600000,53800000,396400000,0,3.62
ATR,951800000,665531000,32626000,265999000,0,3.12
BLD,576152000,367199000,28687000,180824000,0,3.86
HMST,436438000,390573000,0,45865000,0,1.48
PKI,1340939000,1017055000,66201000,258135000,0,2.15
EAST,2310201,10571208,789362,-9047669,0,-1.49
NOG,566976524,134348037,86888881,143634235,0,0.61
NPK,75883000,27981000,0,52390000,0,5.70
H,9.79E+08,6.72E+08,7.60E+07,9.51E+08,0,6.79
SELF,4848376,3422804,897937,619448,0,0.08
NINE,187876000,215822000,22315000,-50608000,0,-2.17
EDU,1381690000,1118731000,0,73260000,0,1.87
GPAQ,0,780534,0,1366237,0,-0.12
MTCH,1319850000,766556000,73417000,492612000,0,1.73
SHSP,12853256,21717370,0,-9809816,0,-1.11
IPWR,0,4311624,0,-7904989,0,-5.60
PTNR,148670212.8,125265957.4,14095744.68,17021276.6,0,0.09
RELL,55082000,51453000,0,5356000,0,0.30
LPLA,5125246000,4407586000,125023000,592637000,0,4.99
AMSF,113573000,25992000,0,87581000,0,3.73
WPG,488207000,306745000,141987000,95136000,14032000,0.42
CDK,943500000,461800000,95900000,468900000,0,2.80
TU,5925925926,3824444444,0,1611851852,0,1.99
MLM,966577000,275840000,137069000,575703000,0,7.46
UCFC,110648000,64143000,0,45569000,0,0.75
EPC,1036800000,820300000,6.80E+07,163800000,0,1.90
