EMPLYID,SALARY,EDUC,EXPER,TIME,GENDER,MARRIED
006717,3900,12,0,1,Male,1
001673,4020,10,44,7,Male,2
007879,4290,12,5,30,Male,2
000983,4380,8,6,7,Male,1
000122,4380,8,8,6,Male,2
006480,4380,12,0,7,Male,2
001048,4380,12,0,10,Male,2
006163,4380,12,5,6,Male,1
009418,4440,15,75,2,Male,1
007062,4500,8,52,3,Male,1
008188,4500,12,8,19,Male,2
001164,4620,12,52,3,Male,2
005617,4800,8,70,20,Male,2
008398,4800,12,6,23,Male,1
003111,4800,12,11,12,Male,2
003410,4800,12,11,17,Male,2
001892,4800,12,63,22,Male,2
006412,4800,12,144,24,Male,1
003789,4800,12,163,12,Male,1
005846,4800,12,228,26,Male,2
003537,4800,12,381,1,Male,1
005363,4800,16,214,15,Male,2
006344,4980,8,318,25,Male,1
000359,5100,8,96,33,Male,1
003635,5100,12,36,15,Male,1
005831,5100,12,59,14,Male,2
000111,5100,15,115,1,Male,1
003928,5100,15,165,4,Male,1
000304,5100,16,123,12,Male,1
001606,5160,12,18,12,Male,1
003823,5220,8,102,29,Male,1
003441,5220,12,127,29,Male,2
006628,5280,8,90,11,Male,1
001297,5280,8,190,1,Male,1
006584,5280,12,107,11,Male,1
003694,5400,8,173,34,Male,2
002840,5400,8,228,33,Male,2
006938,5400,12,26,11,Male,2
000279,5400,12,36,33,Male,2
001231,5400,12,38,22,Male,1
000081,5400,12,82,29,Male,2
007293,5400,12,169,27,Male,1
001037,5400,12,244,1,Male,1
003783,5400,15,24,13,Male,1
008532,5400,15,49,27,Male,2
001711,5400,15,51,21,Male,1
003878,5400,15,122,33,Male,1
007472,5520,12,97,17,Male,1
005545,5520,12,196,32,Male,1
008785,5580,12,133,30,Male,1
000742,5640,12,55,9,Male,1
003023,5700,12,90,23,Male,1
006991,5700,12,117,25,Male,2
008836,5700,15,51,17,Male,2
006375,5700,15,61,11,Male,2
006269,5700,15,241,34,Male,2
008391,6000,12,121,30,Male,2
008511,6000,15,79,13,Male,1
000589,6120,12,209,21,Male,2
004003,6300,12,87,33,Male,1
009869,6300,15,231,15,Male,1
004317,4620,12,12,22,Female,1
007261,5040,15,14,3,Female,1
002846,5100,12,180,15,Female,2
006429,5100,12,315,2,Female,1
007818,5220,12,29,14,Female,2
000040,5400,12,7,21,Female,2
005313,5400,12,38,11,Female,2
000978,5400,12,113,3,Female,1
005223,5400,15,18,8,Female,2
005361,5400,15,359,11,Female,1
006463,5700,15,36,5,Female,1
003798,6000,8,320,21,Female,1
007277,6000,12,24,2,Female,1
007407,6000,12,32,17,Female,2
005486,6000,12,49,8,Female,2
006062,6000,12,56,33,Female,2
009039,6000,12,252,11,Female,1
006241,6000,12,272,19,Female,2
000163,6000,15,25,13,Female,2
003948,6000,15,36,32,Female,2
004022,6000,15,56,12,Female,2
003207,6000,15,64,33,Female,1
009811,6000,15,108,16,Female,1
004258,6000,16,46,3,Female,1
003151,6300,15,72,17,Female,2
004225,6600,15,64,16,Female,1
003584,6600,15,84,33,Female,2
009098,6600,15,216,16,Female,1
008279,6840,15,42,7,Female,2
005597,6900,12,175,10,Female,1
007014,6900,15,132,24,Female,1
002519,8100,16,55,33,Female,2
