LOANID,DEFAULT,LATE,FICO,DTI,AGE,EMP_MONTHS,NUM_DEPENDENTS,OWNS_CAR,YEARS_EDUCATION,MARITAL
20210485142,No,No,748,0.42,39,145,1,Yes,11,Married
20216529295,No,No,686,0.345,42,29,0,Yes,12,Married
20212395579,No,No,683,0.198,32,40,0,Yes,20,Married
20216862627,No,No,846,0.43,35,104,2,Yes,15,Single
20211957510,No,No,640,0.412,43,135,0,Yes,10,Married
20210369332,No,No,706,0.321,39,0,1,Yes,14,Single
20213342497,No,Yes,699,0.36,50,94,0,Yes,18,Single
20219380543,No,No,639,0.308,30,90,1,Yes,14,Married
20217453712,No,No,691,0.399,26,16,1,No,10,Married
20218974413,No,No,816,0.311,44,84,3,Yes,15,Single
20218100184,Yes,Yes,614,0.434,45,42,1,Yes,14,Married
20213404808,No,Yes,720,0.398,33,94,3,Yes,20,Married
20216036132,Yes,Yes,623,0.356,48,0,0,Yes,15,Married
20215716820,No,No,657,0.301,36,58,4,No,14,Married
20218088396,Yes,No,632,0.354,60,24,3,Yes,16,Married
20215979776,Yes,Yes,580,0.238,34,46,2,No,15,Married
20211927511,No,No,719,0.262,34,36,0,No,12,Married
20217498881,Yes,No,691,0.462,67,78,0,Yes,14,Single
20210337418,Yes,Yes,501,0.509,53,0,0,Yes,19,Single
20219222952,Yes,Yes,518,0.404,30,118,3,Yes,11,Single
20219719348,No,No,709,0.345,41,172,0,Yes,19,Married
20215854635,Yes,No,657,0.443,53,16,0,No,20,Married
20212481510,No,No,777,0.356,51,23,4,Yes,12,Married
20210597285,No,No,828,0.462,27,64,1,Yes,13,Married
20212653700,No,No,630,0.303,45,15,1,Yes,16,Married
20211102999,No,No,699,0.234,43,167,3,Yes,17,Single
20214546936,No,No,701,0.423,68,119,0,Yes,15,Single
20219383277,Yes,Yes,590,0.339,49,164,0,Yes,13,Single
20212253781,No,Yes,647,0.202,48,101,3,Yes,16,Married
20211195680,No,No,652,0.391,41,72,2,Yes,17,Single
20216977111,No,No,750,0.388,49,49,3,Yes,11,Married
20213946707,No,No,710,0.348,50,171,1,Yes,16,Single
20219801370,No,Yes,684,0.273,43,53,0,Yes,17,Married
20211102982,No,No,720,0.253,37,150,1,No,15,Single
20212621390,No,Yes,718,0.289,33,150,2,Yes,18,Married
20219467667,No,Yes,664,0.431,38,106,0,No,13,Married
20219436899,No,No,703,0.387,37,131,1,Yes,14,Married
20218596028,No,No,765,0.472,44,57,3,Yes,13,Single
20212259606,Yes,No,736,0.393,21,36,0,No,15,Married
20212971481,Yes,Yes,540,0.336,30,94,0,Yes,19,Married
20218192082,No,No,770,0.511,47,55,4,Yes,18,Married
20216591054,No,No,785,0.41,37,42,5,No,14,Married
20211191624,No,Yes,761,0.259,50,43,2,Yes,16,Married
20217884191,No,Yes,656,0.36,55,0,0,Yes,16,Single
