Price,Age,RAM,Brand
183,3.3,8,Lenovo
290,1.8,16,Asus
172,4.2,16,Dell
168,5.7,16,Dell
321,0.7,16,Lenovo
278,2.3,16,Dell
132,5.9,8,Lenovo
149,5.0,8,HP
320,4.0,32,Asus
181,3.2,8,HP
236,3.5,8,Asus
195,2.9,8,Asus
168,6.9,16,Asus
227,6.4,32,HP
135,3.7,8,Dell
245,0.7,8,Dell
171,3.3,4,Dell
225,1.9,4,Asus
224,3.4,16,Lenovo
202,6.0,16,Asus
150,4.6,8,Asus
189,2.8,8,Asus
145,5.1,8,HP
270,5.2,32,HP
185,5.2,16,Lenovo
190,2.9,8,HP
126,5.6,8,Dell
259,0.7,8,Asus
252,2.4,8,Asus
130,4.2,8,Asus
203,2.9,8,Asus
198,5.4,16,Asus
271,2.9,16,Asus
224,3.2,16,Asus
181,1.9,4,HP
194,5.7,16,HP
175,4.5,8,Lenovo
214,3.0,16,Lenovo
137,6.2,8,Dell
117,4.7,4,HP
131,5.1,8,Dell
241,4.9,32,HP
65,6.2,8,Dell
189,2.0,4,HP
172,5.2,16,Dell
193,7.0,32,Lenovo
201,6.0,32,Lenovo
270,3.3,16,Lenovo
266,3.4,16,Dell
228,4.0,16,HP
331,0.9,16,HP
154,4.6,4,Lenovo
150,6.2,16,HP
269,2.7,16,Dell
191,3.4,8,Dell
161,3.1,4,Dell
342,2.5,32,Asus
226,1.9,8,Dell
94,6.5,8,Asus
70,6.1,8,Asus
206,1.9,4,Dell
214,6.3,32,Lenovo
40,6.9,8,Dell
207,2.4,4,Dell
150,1.9,4,Dell
199,3.7,8,Asus
189,4.2,8,Asus
140,5.2,8,Dell
70,6.2,8,Lenovo
120,4.5,4,Lenovo
240,2.3,8,Lenovo
266,3.0,16,Asus
174,4.3,16,Dell
151,4.0,8,HP
153,6.4,16,Asus
284,4.8,32,Dell
153,5.2,8,Asus
253,1.4,8,HP
170,6.2,32,Asus
356,0.6,16,Asus
395,1.5,32,HP
266,0.5,8,Lenovo
107,6.1,16,HP
172,4.7,16,HP
198,3.1,16,Dell
180,6.9,16,Asus
392,1.6,32,Asus
293,3.1,16,Dell
198,2.4,8,Lenovo
252,5.8,32,Asus
117,6.0,8,Dell
214,2.8,8,Lenovo
103,6.1,8,HP
146,4.6,8,Dell
206,6.3,32,Dell
174,5.1,8,Dell
240,2.7,8,Dell
116,5.2,4,Lenovo
316,1.6,8,Lenovo
215,1.3,4,Asus
