SALES,ADV,BONUS,MKTSHR,COMPET
1136.51,466.47,277.13,33.79,333.75
1329.17,546.58,268.1,35.23,396.37
1655.02,598.11,313.98,37.03,317.3
1217.81,496.34,269.19,29.8,257.79
1254.71,545.82,266.39,35.31,380.68
1021.0,417.99,288.68,26.25,183.38
976.63,453.18,251.47,29.13,201.23
1003.51,481.42,223.04,31.74,238.87
1173.58,523.07,226.41,28.3,230.38
1283.07,561.21,313.5,32.78,350.88
1436.24,579.92,253.48,34.64,339.56
1323.58,480.0,276.25,27.95,392.77
1156.25,514.25,273.36,28.93,286.02
1581.26,659.38,320.9,32.25,357.64
1005.45,367.42,261.23,25.96,339.59
1464.69,580.36,291.1,28.11,340.8
1125.73,420.43,302.56,32.63,288.48
883.96,391.93,240.55,24.1,279.83
1470.61,560.75,296.24,25.5,406.15
1356.81,530.9,281.59,27.65,293.85
1364.34,625.75,238.29,35.26,325.7
1043.78,457.13,247.53,28.97,253.36
1180.42,473.6,264.8,34.79,296.65
876.95,328.71,274.26,40.99,248.58
1698.08,582.96,292.51,30.16,342.12
1493.23,531.44,304.09,37.88,271.23
1107.38,463.54,244.81,34.14,221.17
1222.86,499.04,267.1,35.41,269.45
1793.77,688.72,349.43,19.62,440.07
1085.34,455.28,274.51,25.42,351.51
1389.53,511.28,281.47,29.57,410.0
1036.87,415.44,232.65,29.0,242.56
1156.7,493.07,233.97,32.63,320.61
1419.39,554.0,287.08,31.7,357.1
1463.45,598.56,282.11,29.01,387.69
1260.22,521.1,259.83,33.29,282.02
1660.2,673.27,267.19,30.15,334.22
1302.34,541.87,311.35,33.74,255.22
946.23,462.76,246.95,42.03,249.72
991.28,463.93,242.08,31.82,264.97
1390.29,535.75,257.57,28.43,324.29
1352.24,504.54,274.15,33.91,341.03
1569.98,617.0,283.61,25.01,403.12
1247.59,493.92,282.76,23.67,311.18
1465.73,563.46,334.6,26.65,428.08
1182.5,488.51,210.84,32.35,254.25
1449.12,546.96,298.1,37.47,331.21
1457.07,546.11,283.41,20.27,307.47
927.52,385.88,277.48,25.29,262.82
1390.42,549.92,258.08,33.67,302.05
1155.22,525.91,210.58,29.52,354.46
1527.43,546.5,344.29,29.24,228.5
1582.15,582.54,291.43,37.14,206.29
1547.18,615.86,309.27,28.97,287.35
1234.75,542.54,266.81,32.35,294.15
1379.42,552.63,297.68,19.86,390.01
1817.76,683.35,378.3,27.21,407.27
1135.17,504.2,247.31,33.48,326.6
1192.63,490.64,276.93,28.73,316.82
1475.23,653.74,227.87,26.68,389.06
1376.63,526.51,281.91,32.75,292.3
1180.16,539.05,270.19,25.61,378.41
1429.62,560.45,294.07,35.05,294.3
1245.09,482.82,298.68,32.65,273.73
1587.14,625.46,311.4,33.62,285.33
873.94,445.85,280.89,27.72,250.05
1631.05,657.13,289.36,30.47,412.95
1013.58,398.72,316.29,27.69,276.7
1840.14,689.0,315.05,27.82,396.39
1540.78,567.54,299.23,28.84,282.78
1159.96,520.28,246.34,33.3,302.6
1238.78,552.95,235.01,29.09,306.81
1265.72,494.49,226.19,32.54,228.87
1465.56,562.41,304.58,27.51,356.05
1165.04,434.88,274.17,33.44,350.95
1271.06,582.81,273.05,25.89,330.18
1285.55,518.37,261.27,29.62,327.04
1040.59,467.21,215.03,30.32,242.15
