Store_ID,Ad_Spend,Weekly_Visits
1,33110,1885
2,42291,1658
3,8214,1466
4,13309,1599
5,34834,1820
6,7473,1436
7,32221,1693
8,22619,1648
9,39527,1745
10,23173,1755
11,40884,1817
12,48180,1950
13,39596,1875
14,24651,1747
15,5307,1490
16,4387,1380
17,1603,1283
18,41496,1830
19,36305,1733
20,40935,1889
21,42613,2000
22,47958,1779
23,20655,1578
24,22645,1531
25,32773,1785
26,23392,1712
27,8855,1571
28,43748,1776
29,44903,1698
30,42794,1742
31,41633,1816
32,44423,1688
33,41617,1889
34,46703,1863
35,22102,1594
36,14496,1612
37,37609,1886
38,31859,1780
39,3154,1449
40,25643,1793
41,7334,1349
42,19537,1764
43,2687,1204
44,23202,1662
45,3548,1391
46,30067,1746
47,36769,1664
48,36813,1752
49,7654,1637
50,23291,1695
