StoreID,AdSpend,CustVisits,HoursWorked,Region,Channel,SalesRev
S521,4954.82,381,122.8,Urban,O,55136
S737,1950.59,470,135.5,Rural,O,51502
S740,4144.44,467,199.5,Rural,O,78614
S660,1645.88,253,107.4,Urban,O,42854
S411,3566.76,101,182.7,Rural,O,37046
S678,3921.03,493,117.6,Urban,O,61679
S626,3180.37,428,197.4,Urban,O,65115
S513,2622.09,106,100,Urban,O,30123
S859,2353.28,464,107.4,Urban,O,37599
S136,2069.91,441,143.7,Urban,O,48001
S811,4682.88,283,189.2,Rural,O,54376
S076,4237.79,316,159.1,Urban,I,58157
S636,4842.62,230,149.9,Rural,O,41780
S973,1059.34,75,200.4,Rural,O,37855
S938,3788.9,201,220,Urban,I,49705
S899,4722.53,411,180.2,Urban,O,78368
S280,1315.55,52,141.3,Urban,I,26093
S883,799.23,200,147.5,Urban,I,31848
S761,3835.04,229,121.3,Rural,O,47205
S319,3085.13,292,163,Rural,I,41544
S549,4288.23,464,111.1,Urban,O,86680
S174,1128.98,206,176.6,Rural,O,31318
S371,4078.7,206,220,Rural,O,67255
S527,1407.32,382,181.5,Rural,I,32623
S210,1236.45,253,145.9,Rural,I,37846
S235,1239.2,151,175.8,Rural,O,39192
S101,4165.59,254,208.6,Rural,O,58592
S986,3493.39,113,207.1,Rural,O,43521
S902,2853.79,129,129.9,Rural,I,35132
S947,2114.74,274,175.3,Urban,O,43268
S346,4447.4,239,155.3,Rural,O,78968
S139,2266,462,184.2,Rural,O,53580
S621,4174.7,213,171.5,Urban,I,59888
S499,2476.11,311,100,Rural,O,59606
S370,2196.25,335,149.6,Urban,O,39514
S198,2582.06,56,166,Urban,O,40870
S687,1856.2,349,117,Rural,I,36825
S584,3864.24,130,177.4,Rural,O,48748
S901,2762.24,482,114.3,Urban,O,52777
S059,1544.96,117,136,Urban,I,25223
S328,4548.09,237,200.2,Rural,O,61668
S096,2227.51,88,133.5,Urban,O,26763
S312,2945.99,499,177.2,Rural,I,66399
S974,4579.12,276,107.4,Urban,I,60658
S299,3309.07,318,220,Rural,O,52380
S277,1026.04,80,150.9,Urban,I,24612
S924,4729.24,387,162.9,Urban,O,69079
S601,3324.69,144,165.4,Urban,I,38703
S439,2007.08,454,178.2,Urban,O,71559
S837,1126.72,142,114.4,Rural,I,30082
S570,4073.11,136,159.8,Rural,O,53477
S879,3290.33,66,140.2,Rural,O,47235
S261,2900.57,262,109.3,Rural,O,38019
S578,4522.52,304,189.6,Urban,O,74545
S023,4048.69,80,149.4,Rural,I,45542
S030,1182.54,399,167.3,Rural,O,52662
S617,1902.75,254,165.4,Urban,I,40385
S010,1618.2,286,150,Urban,I,53435
S221,3847.76,248,219.3,Urban,I,61957
S820,650.9,230,158.6,Urban,I,54497
S296,3064.5,302,113.3,Rural,O,42934
S054,3931.06,120,148,Rural,O,49206
S542,4445.45,132,175,Urban,I,43431
S209,2039.37,438,176,Urban,I,46187
S604,4195.66,476,127.4,Rural,O,67400
S692,997.84,218,187.9,Urban,I,48202
S662,4309.04,172,107.1,Rural,I,75085
S866,1073.7,340,194.3,Rural,I,39642
S070,2287.79,234,120.4,Urban,O,33157
S543,4087.83,61,153.2,Urban,O,56055
S107,1174.63,120,191.9,Urban,I,23763
S493,1531.63,372,163.6,Rural,I,47643
S590,3750.14,347,184.5,Urban,O,55745
S741,3740.16,62,178.6,Rural,O,48268
S292,3385.16,150,198.6,Rural,I,57787
S289,3622.77,154,191.9,Urban,O,51670
S652,2942.26,352,146.4,Urban,I,60016
S039,1633.1,59,179,Urban,I,42450
S589,2055.63,97,114.2,Urban,O,16742
S307,1317.19,410,158.3,Urban,I,35709
S679,4588.03,130,184.6,Urban,O,41842
S066,3125.26,344,164,Rural,I,70058
S275,2303.83,157,173.4,Rural,I,37959
S067,2579.03,95,153.6,Rural,O,55843
S318,4762.78,159,193.9,Rural,I,39609
S548,1190.08,375,157.6,Urban,O,38687
S998,3138.03,435,146,Rural,I,60686
S714,2776.5,424,186.6,Rural,I,55271
S753,3251.54,229,117.8,Rural,I,48260
S327,581.5,351,175,Urban,O,28843
S382,4424.56,142,128.7,Rural,I,60903
S451,4694.53,182,198.3,Urban,O,68355
S522,3043.1,453,152.2,Rural,I,57466
S218,3634.93,56,164,Rural,O,37511
S787,4651.25,88,172.4,Urban,I,55881
S436,3682.57,144,102.1,Urban,O,42676
S764,1186.43,62,140.5,Rural,O,11809
S088,3093.3,132,191.3,Urban,O,48141
S063,3230.22,312,186,Urban,O,54737
S826,2408.59,240,168.5,Rural,O,54832
